SLAMBench Report run started:	2020-02-28 06:57:47

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/ICL0-ORB-COM-00015.log
input: datasets/ICL_NUIM/living_room_traj0_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.00015

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0071111731	0.0071111731	0.0071111731	0.0000000000	0.0125100000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0072580725	0.0071846228	0.0072580725	0.0045885332	0.0181910000	0	0	209321984	0.0004404980	-0.0000977273	-0.0018305646
3	0.3200000000	0.0065836739	0.0069843065	0.0072580725	0.0094598627	0.0161490000	0	0	209321984	-0.0009283141	-0.0019472649	-0.0015433538
4	0.4000000000	0.0065383571	0.0068728192	0.0072580725	0.0079549296	0.0164080000	0	0	209321984	0.0027954681	-0.0030180581	0.0002904403
5	0.5200000000	0.0069584213	0.0068899396	0.0072580725	0.0087357961	0.0157550000	0	0	209321984	0.0027464451	0.0003250248	-0.0014617648
6	0.7600000000	0.0076994081	0.0070248510	0.0076994081	0.0085966223	0.0156500000	0	0	209321984	0.0061335457	0.0036083376	-0.0044010435
7	0.8000000000	0.0093375146	0.0073552315	0.0093375146	0.0079066122	0.0156930000	0	0	209321984	0.0023277460	0.0057707019	-0.0048745186
8	0.8400000000	0.0080204112	0.0074383790	0.0093375146	0.0073374914	0.0156030000	0	0	209321984	0.0031349841	0.0044539305	-0.0046835486
9	0.9200000000	0.0055775917	0.0072316248	0.0093375146	0.0069480024	0.0156010000	0	0	209321984	0.0030647744	0.0004555869	-0.0037595413
10	1.0000000000	0.0087196324	0.0073804256	0.0093375146	0.0066452136	0.0155380000	0	0	209321984	0.0030638149	0.0030700294	-0.0035160801
11	1.0800000000	0.0094788326	0.0075711899	0.0094788326	0.0064063291	0.0157560000	0	0	209321984	0.0028201859	0.0023256799	-0.0027053240
12	1.1200000000	0.0099972486	0.0077733614	0.0099972486	0.0064636630	0.0157090000	0	0	209321984	0.0075402851	0.0048488411	-0.0025886353
13	1.1600000000	0.0092338538	0.0078857070	0.0099972486	0.0066469541	0.0154820000	0	0	209321984	0.0035075764	0.0012100507	-0.0023653440
14	1.2000000000	0.0078830384	0.0078855164	0.0099972486	0.0067660655	0.0160050000	0	0	209321984	0.0069854339	0.0006682013	-0.0021176275
15	1.2400000000	0.0103538958	0.0080500750	0.0103538958	0.0070098683	0.0155640000	0	0	209321984	0.0067476383	0.0035431364	-0.0011161739
16	1.2800000000	0.0087402230	0.0080932093	0.0103538958	0.0074260299	0.0155700000	0	0	209321984	0.0080845812	0.0020391005	0.0002072886
17	1.3200000000	0.0089738024	0.0081450089	0.0103538958	0.0075844132	0.0154160000	0	0	209321984	0.0109703373	0.0030191331	-0.0004097776
18	1.3600000000	0.0103853764	0.0082694737	0.0103853764	0.0078942884	0.0154690000	0	0	209321984	0.0060624364	0.0030861886	0.0018343866
19	1.4000000000	0.0108059989	0.0084029751	0.0108059989	0.0082855556	0.0156370000	0	0	209321984	0.0099424301	0.0032970691	0.0020564573
20	1.4400000000	0.0129522271	0.0086304377	0.0129522271	0.0087157917	0.0153710000	0	0	209321984	0.0057887184	0.0025253103	0.0039709499
21	1.4800000000	0.0106142377	0.0087249043	0.0129522271	0.0113424568	0.0155970000	0	0	209321984	0.0101762628	0.0009951516	0.0047472212
22	1.5200000000	0.0104001993	0.0088010541	0.0129522271	0.0116613560	0.0155750000	0	0	209321984	0.0133118844	0.0018753204	0.0053795399
23	1.5600000000	0.0125581818	0.0089644075	0.0129522271	0.0116645238	0.0156090000	0	0	209321984	0.0148110073	0.0041218246	0.0065566413
24	1.6000000000	0.0143634882	0.0091893692	0.0143634882	0.0117336146	0.0154530000	0	0	209321984	0.0119713414	0.0001811759	0.0081799040
25	1.6400000000	0.0130656203	0.0093444192	0.0143634882	0.0118065040	0.0155760000	0	0	209321984	0.0148811452	-0.0005555731	0.0089938371
