SLAMBench Report run started:	2020-02-28 06:53:30

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/ICL0-ORB-DEP-00020.log
input: datasets/ICL_NUIM/living_room_traj0_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.7600000000	0.0067353430	0.0067353430	0.0067353430	0.0000000000	0.0124580000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.8400000000	0.0068855202	0.0068104316	0.0068855202	0.0008951301	0.0202360000	0	0	209321984	-0.0007267563	0.0017899919	-0.0006999137
3	1.0000000000	0.0088910367	0.0075039666	0.0088910367	0.0011305181	0.0160370000	0	0	209321984	-0.0002196946	0.0010652954	0.0005552557
4	1.0800000000	0.0112552270	0.0084417817	0.0112552270	0.0025670153	0.0158450000	0	0	209321984	-0.0012928396	0.0001652072	0.0010432804
5	1.1600000000	0.0113813672	0.0090296988	0.0113813672	0.0074969902	0.0155540000	0	0	209321984	-0.0015217327	-0.0019008587	0.0014117687
6	1.2400000000	0.0114786681	0.0094378604	0.0114786681	0.0108010129	0.0153830000	0	0	209321984	0.0027510962	-0.0001699869	0.0026276393
7	1.2800000000	0.0118849901	0.0097874503	0.0118849901	0.0106834441	0.0154850000	0	0	209321984	0.0029745374	0.0007647788	0.0035978882
8	1.3200000000	0.0091118291	0.0097029977	0.0118849901	0.0106874043	0.0154780000	0	0	209321984	0.0044307308	-0.0015802948	0.0034703347
9	1.3600000000	0.0108314063	0.0098283764	0.0118849901	0.0110500260	0.0154770000	0	0	209321984	0.0028163458	-0.0016478512	0.0052282219
10	1.4000000000	0.0117193572	0.0100174745	0.0118849901	0.0111507519	0.0150130000	0	0	209321984	0.0043979539	-0.0012628260	0.0068596355
