SLAMBench Report run started:	2020-02-28 07:07:57

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/ICL1-ORB-RND-030.log
input: datasets/ICL_NUIM/living_room_traj1_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0144360000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0011135201	0.0005567601	0.0011135201	0.0011789947	0.0188180000	0	0	209321984	-0.0005273601	0.0012266056	-0.0003808451
3	0.0800000000	0.0023709326	0.0011614842	0.0023709326	0.0027033467	0.0149480000	0	0	209321984	-0.0013194090	-0.0042107077	-0.0012762208
4	0.1600000000	0.0033993362	0.0017209472	0.0033993362	0.0023461227	0.0153190000	0	0	209321984	-0.0020013773	-0.0039425525	-0.0008706535
5	0.2000000000	0.0017199665	0.0017207511	0.0033993362	0.0023650583	0.0158440000	0	0	209321984	-0.0000583431	-0.0039717988	-0.0007025858
6	0.3200000000	0.0009330194	0.0015894625	0.0033993362	0.0022726543	0.0155570000	0	0	209321984	0.0007896207	-0.0015560872	-0.0001689035
7	0.3600000000	0.0008030808	0.0014771222	0.0033993362	0.0022126009	0.0154050000	0	0	209321984	-0.0002810708	-0.0024229935	-0.0010612922
8	0.4400000000	0.0010958118	0.0014294584	0.0033993362	0.0020887628	0.0155200000	0	0	209321984	-0.0004582731	-0.0013308960	-0.0005732685
9	0.5600000000	0.0009922758	0.0013808826	0.0033993362	0.0034330167	0.0158220000	0	0	209321984	-0.0001079346	0.0008102561	0.0011256234
10	0.6000000000	0.0023905137	0.0014818457	0.0033993362	0.0037738766	0.0152030000	0	0	209321984	-0.0018853797	0.0008341964	-0.0000719049
11	0.6400000000	0.0023851227	0.0015639618	0.0033993362	0.0038325008	0.0152640000	0	0	209321984	0.0002915993	-0.0023946159	0.0003222725
12	0.7200000000	0.0007804284	0.0014986673	0.0033993362	0.0039357568	0.0149020000	0	0	209321984	0.0001519170	-0.0013829852	0.0001627920
13	0.8000000000	0.0009340681	0.0014552366	0.0033993362	0.0041153657	0.0144860000	0	0	209321984	0.0006889149	-0.0014538148	-0.0001516823
14	0.8800000000	0.0037918948	0.0016221408	0.0037918948	0.0044739829	0.0148990000	0	0	209321984	-0.0008340506	-0.0047031636	-0.0005854874
15	0.9200000000	0.0016532389	0.0016242140	0.0037918948	0.0044298859	0.0153480000	0	0	209321984	-0.0011476302	-0.0016930248	-0.0012811318
