SLAMBench Report run started:	2020-02-28 07:51:51

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1360-ORB-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_360.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031790.6728661060	0.2222062796	0.2222062796	0.2222062796	0.0000000000	0.0148360000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031790.7094209194	0.2182218134	0.2202140465	0.2222062796	0.0191067699	0.0201740000	0	0	209321984	0.0033377316	0.0076014465	0.0023361829
3	1305031790.7395300865	0.2172182649	0.2192154527	0.2222062796	0.0222008874	0.0166170000	0	0	209321984	0.0075985193	0.0109187663	0.0055870358
4	1305031790.7735478878	0.2199558765	0.2194005586	0.2222062796	0.0218965390	0.0166590000	0	0	209321984	0.0130362976	0.0119917551	0.0076237386
5	1305031790.8095209599	0.2175732553	0.2190350980	0.2222062796	0.0212912925	0.0160150000	0	0	209321984	0.0164574180	0.0177821089	0.0095793903
6	1305031790.8393630981	0.2113914341	0.2177611540	0.2222062796	0.0202790961	0.0171550000	0	0	209321984	0.0205449704	0.0272319820	0.0122578135
7	1305031790.8716061115	0.2140102237	0.2172253068	0.2222062796	0.0200696751	0.0189890000	0	0	209321984	0.0260783900	0.0270250961	0.0153823346
8	1305031790.9094359875	0.2118059397	0.2165478859	0.2222062796	0.0200223400	0.0184250000	0	0	209321984	0.0308067743	0.0305811036	0.0183919668
9	1305031790.9414949417	0.2134764791	0.2162066185	0.2222062796	0.0188356271	0.0186500000	0	0	209321984	0.0330518186	0.0301566795	0.0201887228
10	1305031790.9736959934	0.2098359764	0.2155695543	0.2222062796	0.0188964945	0.0184090000	0	0	209321984	0.0365748219	0.0336725563	0.0216999464
11	1305031791.0411970615	0.2031766772	0.2144429291	0.2222062796	0.0317611015	0.0180550000	0	0	209321984	0.0309737734	0.0332351215	0.0299605858
12	1305031791.0735249519	0.2048982233	0.2136475369	0.2222062796	0.0332927043	0.0181530000	0	0	209321984	0.0418920331	0.0282049105	0.0196346268
13	1305031791.1094520092	0.1920147836	0.2119834790	0.2222062796	0.0379756221	0.0178740000	0	0	209321984	0.0358151942	0.0354680978	0.0171437524
14	1305031791.1413300037	0.1907211840	0.2104647436	0.2222062796	0.0446829692	0.0179910000	0	0	209321984	0.0407064445	0.0282725729	0.0098708710
