SLAMBench Report run started:	2020-02-28 07:51:35

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1360-ORB-INT-00080.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_360.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031790.6451549530	0.2177233994	0.2177233994	0.2177233994	0.0000000000	0.0161010000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031790.6812078953	0.2160604149	0.2168919072	0.2177233994	0.0247640386	0.0215420000	0	0	209321984	0.0023121482	0.0068599982	0.0028723150
3	1305031790.7130970955	0.2152589113	0.2163475752	0.2177233994	0.0237766390	0.0165000000	0	0	209321984	0.0061137681	0.0095600141	0.0070219282
4	1305031790.7452230453	0.2155143470	0.2161392681	0.2177233994	0.0215462431	0.0160980000	0	0	209321984	0.0115813203	0.0120989224	0.0088705551
5	1305031790.7812581062	0.2146127969	0.2158339739	0.2177233994	0.0211561803	0.0170890000	0	0	209321984	0.0169553477	0.0183323342	0.0094030108
6	1305031790.8132069111	0.2102022916	0.2148953602	0.2177233994	0.0207703430	0.0180650000	0	0	209321984	0.0215301160	0.0260927267	0.0117565161
7	1305031790.8451509476	0.2116083503	0.2144257873	0.2177233994	0.0210897517	0.0174300000	0	0	209321984	0.0262849927	0.0266960189	0.0154861379
8	1305031790.8820939064	0.2119255364	0.2141132560	0.2177233994	0.0207407325	0.0180170000	0	0	209321984	0.0304882582	0.0280053169	0.0203285366
9	1305031790.9131290913	0.2113216370	0.2138030761	0.2177233994	0.0197636089	0.0167830000	0	0	209321984	0.0329555422	0.0302210972	0.0227971636
10	1305031790.9451711178	0.2155033946	0.2139731079	0.2177233994	0.0190546023	0.0177240000	0	0	209321984	0.0393335596	0.0266182907	0.0244683661
11	1305031790.9811589718	0.2149875462	0.2140653296	0.2177233994	0.0192575353	0.0177800000	0	0	209321984	0.0403332934	0.0265965872	0.0268573165
12	1305031791.0130751133	0.2122864276	0.2139170878	0.2177233994	0.0204339170	0.0164450000	0	0	209321984	0.0341591686	0.0257026851	0.0346702933
13	1305031791.0451369286	0.2085993290	0.2135080294	0.2177233994	0.0233177293	0.0174640000	0	0	209321984	0.0383832492	0.0281591360	0.0258315168
14	1305031791.0812931061	0.2057806104	0.2129560709	0.2177233994	0.0277176484	0.0172160000	0	0	209321984	0.0388780050	0.0244927667	0.0245545469
15	1305031791.1131360531	0.2038007081	0.2123457134	0.2177233994	0.0328682167	0.0151110000	0	0	209321984	0.0415847301	0.0201064739	0.0196070503
16	1305031791.1450960636	0.1925206035	0.2111066440	0.2177233994	0.0384698647	0.0167150000	0	0	209321984	0.0301296357	0.0283205267	0.0054205949
17	1305031791.1812870502	0.1776766479	0.2091401737	0.2177233994	0.0442252260	0.0167360000	0	0	209321984	0.0241937097	0.0355111323	-0.0018649676
18	1305031791.2130980492	0.1792195290	0.2074779156	0.2177233994	0.0464339287	0.0151950000	0	0	209321984	0.0211747717	0.0265821647	-0.0065100971
19	1305031791.2450869083	0.1794684827	0.2060037349	0.2177233994	0.0469532046	0.0184370000	0	0	209321984	0.0376485474	0.0258352309	-0.0364695489
20	1305031791.2813398838	0.1810234040	0.2047547184	0.2177233994	0.0489967300	0.0176810000	0	0	209321984	0.0426135026	0.0223162435	-0.0584610514
21	1305031791.3130879402	0.1808000654	0.2036140206	0.2177233994	0.0515362121	0.0165140000	0	0	209321984	0.0372729748	0.0187372454	-0.0686492026
22	1305031791.3451230526	0.1871441752	0.2028653913	0.2177233994	0.0527230362	0.0190940000	0	0	209321984	0.0381050035	0.0163277052	-0.0893520266
23	1305031791.3821609020	0.1921966970	0.2024015350	0.2177233994	0.0542728441	0.0179790000	0	0	209321984	0.0334428735	0.0078917798	-0.1018090025
24	1305031791.4130868912	0.1775012463	0.2013640230	0.2177233994	0.0558421142	0.0157850000	0	0	209321984	0.0248974040	0.0181010328	-0.1000609174
25	1305031791.4451649189	0.1805371791	0.2005309492	0.2177233994	0.0565417888	0.0154540000	0	0	209321984	0.0252561867	0.0110034514	-0.1060365513
26	1305031791.4813749790	0.1888190508	0.2000804916	0.2177233994	0.0564503910	0.0167280000	0	0	209321984	0.0332537554	0.0106079802	-0.1256281435
27	1305031791.5130839348	0.1982996017	0.2000145327	0.2177233994	0.0563211612	0.0168000000	0	0	209321984	0.0398495533	0.0041661132	-0.1374483109
28	1305031791.5450649261	0.1971302181	0.1999115215	0.2177233994	0.0560705870	0.0147710000	0	0	209321984	0.0336642824	0.0063051041	-0.1414065659
29	1305031791.5811269283	0.2370246053	0.2011912830	0.2370246053	0.0566179465	0.0142150000	0	0	209321984	0.0545502417	-0.0265996829	-0.1704704612
