SLAMBench Report run started:	2020-02-28 07:58:28

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1DESK-ORB-INT-00080.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_desk.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031453.3741118908	0.8792272806	0.8792272806	0.8792272806	0.0000000000	0.0181700000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031453.4048159122	0.8773575425	0.8782924116	0.8792272806	0.0212542582	0.0198540000	0	0	209321984	0.0009376032	0.0047430592	-0.0088470057
3	1305031453.4369409084	0.8730351925	0.8765400052	0.8792272806	0.0198745395	0.0161680000	0	0	209321984	0.0033923818	0.0054181167	-0.0179132223
4	1305031453.4733519554	0.8645200133	0.8735350072	0.8792272806	0.0219467368	0.0156110000	0	0	209321984	0.0084458953	0.0121663194	-0.0283257514
5	1305031453.5052180290	0.8600714803	0.8708423018	0.8792272806	0.0202954817	0.0165330000	0	0	209321984	0.0099623622	0.0185774677	-0.0378330275
6	1305031453.5383009911	0.8586393595	0.8688084781	0.8792272806	0.0191003506	0.0189230000	0	0	209321984	0.0093110912	0.0249157231	-0.0519959442
7	1305031453.5740740299	0.8528091311	0.8665228571	0.8792272806	0.0187264991	0.0183760000	0	0	209321984	0.0086908434	0.0293184724	-0.0669725537
8	1305031453.6053140163	0.8474770784	0.8641421348	0.8792272806	0.0186021142	0.0166160000	0	0	209321984	0.0124071799	0.0381645784	-0.0842894316
9	1305031453.6369509697	0.8527483940	0.8628761636	0.8792272806	0.0183725411	0.0178330000	0	0	209321984	0.0021561179	0.0435057096	-0.1015000939
10	1305031453.6731851101	0.8544915318	0.8620377004	0.8792272806	0.0184520029	0.0185170000	0	0	209321984	-0.0111861760	0.0515963435	-0.1179693267
11	1305031453.7054870129	0.8512953520	0.8610611233	0.8792272806	0.0185510404	0.0169910000	0	0	209321984	-0.0144682117	0.0608818755	-0.1331611872
12	1305031453.7368559837	0.8540970683	0.8604807854	0.8792272806	0.0197435857	0.0178720000	0	0	209321984	-0.0267661512	0.0740240216	-0.1453632265
13	1305031453.7737860680	0.8537076116	0.8599597720	0.8792272806	0.0198992478	0.0182120000	0	0	209321984	-0.0419660173	0.0803636685	-0.1575123370
14	1305031453.8050410748	0.8476237655	0.8590786287	0.8792272806	0.0197373674	0.0169380000	0	0	209321984	-0.0418946743	0.0891205743	-0.1716952622
15	1305031453.8403520584	0.8407223821	0.8578548789	0.8792272806	0.0204776751	0.0181560000	0	0	209321984	-0.0480473861	0.0934729204	-0.1838387847
16	1305031453.8696179390	0.8483794928	0.8572626673	0.8792272806	0.0206282413	0.0177390000	0	0	209321984	-0.0644696131	0.1015794426	-0.1960647851
17	1305031453.9055190086	0.8517015576	0.8569355432	0.8792272806	0.0206807191	0.0158540000	0	0	209321984	-0.0755820796	0.1088897586	-0.2071608156
18	1305031453.9400119781	0.8380861282	0.8558883535	0.8792272806	0.0206548238	0.0204070000	0	0	209321984	-0.0732697546	0.1103860736	-0.2143062204
19	1305031453.9725921154	0.8380560279	0.8549498100	0.8792272806	0.0212491091	0.0181110000	0	0	209321984	-0.0794138014	0.1145642847	-0.2247370183
20	1305031454.0031790733	0.8303595185	0.8537202954	0.8792272806	0.0211281526	0.0162760000	0	0	209321984	-0.0852325708	0.1133478656	-0.2229696065
21	1305031454.0409760475	0.8310259581	0.8526396127	0.8792272806	0.0214285709	0.0161770000	0	0	209321984	-0.0995687693	0.1175762936	-0.2263569236
22	1305031454.0726900101	0.8311198354	0.8516614410	0.8792272806	0.0223249772	0.0168290000	0	0	209321984	-0.1162976921	0.1243093759	-0.2174281180
23	1305031454.1046190262	0.8253826499	0.8505188849	0.8792272806	0.0222380513	0.0166990000	0	0	209321984	-0.1215728596	0.1201174930	-0.2184664011
24	1305031454.1410300732	0.8302983046	0.8496763607	0.8792272806	0.0232163564	0.0154660000	0	0	209321984	-0.1374148428	0.1250839531	-0.2232938707
25	1305031454.1726880074	0.8329479098	0.8490072227	0.8792272806	0.0235345198	0.0155350000	0	0	209321984	-0.1494430453	0.1308965832	-0.2236915082
26	1305031454.2046260834	0.8424733281	0.8487559190	0.8792272806	0.0235514699	0.0163790000	0	0	209321984	-0.1705837250	0.1354158372	-0.2238803953
27	1305031454.2408580780	0.8334422708	0.8481887469	0.8792272806	0.0242179270	0.0166050000	0	0	209321984	-0.1805615723	0.1311307847	-0.2149194181
28	1305031454.2734889984	0.8216556907	0.8472411377	0.8792272806	0.0256671176	0.0154740000	0	0	209321984	-0.1749282777	0.1323985606	-0.2132530510
29	1305031454.3047440052	0.8232883215	0.8464151785	0.8792272806	0.0254627270	0.0157110000	0	0	209321984	-0.1823955476	0.1374714822	-0.2157301605
30	1305031454.3408060074	0.8232919574	0.8456444045	0.8792272806	0.0251620095	0.0165920000	0	0	209321984	-0.1985371858	0.1249408498	-0.2144869268
31	1305031454.3726520538	0.8188286424	0.8447793799	0.8792272806	0.0259977396	0.0176120000	0	0	209321984	-0.2007823884	0.1309750080	-0.2119729519
32	1305031454.4019620419	0.8254885674	0.8441765420	0.8792272806	0.0261311609	0.0162310000	0	0	209321984	-0.2124233246	0.1392913759	-0.2154437006
33	1305031454.4372479916	0.8239153028	0.8435625651	0.8792272806	0.0260089163	0.0162600000	0	0	209321984	-0.2186455876	0.1404457092	-0.2145560831
34	1305031454.4707410336	0.8146553636	0.8427123533	0.8792272806	0.0268296487	0.0161250000	0	0	209321984	-0.2170742750	0.1417920589	-0.2144466341
35	1305031454.5038590431	0.8158281446	0.8419442330	0.8792272806	0.0274745747	0.0160150000	0	0	209321984	-0.2244253308	0.1514485925	-0.2138072997
36	1305031454.5384240150	0.8168280125	0.8412465602	0.8792272806	0.0277186159	0.0158940000	0	0	209321984	-0.2304815501	0.1623501778	-0.2130494416
37	1305031454.5703229904	0.8166330457	0.8405813301	0.8792272806	0.0290382567	0.0167580000	0	0	209321984	-0.2333707958	0.1702257842	-0.2182771862
38	1305031454.6020190716	0.8188431263	0.8400092721	0.8792272806	0.0289385349	0.0178370000	0	0	209321984	-0.2412402034	0.1752639264	-0.2185089886
39	1305031454.6392838955	0.8120697141	0.8392928732	0.8792272806	0.0287390811	0.0166880000	0	0	209321984	-0.2366166115	0.1750549525	-0.2198681086
40	1305031454.6695730686	0.8115985990	0.8386005163	0.8792272806	0.0290749464	0.0160000000	0	0	209321984	-0.2365076095	0.1894262135	-0.2205464542
41	1305031454.7020299435	0.8135920763	0.8379905544	0.8792272806	0.0289054979	0.0161300000	0	0	209321984	-0.2397305518	0.1955024898	-0.2223141789
42	1305031454.7407639027	0.7988056540	0.8370575806	0.8792272806	0.0290160044	0.0173450000	0	0	209321984	-0.2302951515	0.1912778318	-0.2153132856
