SLAMBench Report run started:	2020-02-28 08:00:33

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1DESK-ORB-RND-030.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_desk.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031453.3741118908	0.8792272806	0.8792272806	0.8792272806	0.0000000000	0.0160480000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031453.4369409084	0.8724938035	0.8758605421	0.8792272806	0.0358331762	0.0202800000	0	0	209321984	0.0041764872	0.0058381129	-0.0180775039
3	1305031453.4916980267	0.8607299924	0.8708170255	0.8792272806	0.0326479272	0.0169840000	0	0	209321984	0.0123189101	0.0177694894	-0.0376389287
4	1305031453.5597529411	0.8539353013	0.8665965945	0.8792272806	0.0330012597	0.0183450000	0	0	209321984	0.0125708031	0.0306179915	-0.0679521784
5	1305031453.6277060509	0.8624472618	0.8657667279	0.8792272806	0.0311143364	0.0175690000	0	0	209321984	-0.0041187825	0.0401210152	-0.1011910811
6	1305031453.6916780472	0.8597418070	0.8647625744	0.8792272806	0.0324826678	0.0176830000	0	0	209321984	-0.0187174939	0.0601015352	-0.1329288632
7	1305031453.7917160988	0.8559778333	0.8635076114	0.8792272806	0.0380576137	0.0156760000	0	0	209321984	-0.0451322645	0.0892417058	-0.1728561670
8	1305031453.8403520584	0.8434677720	0.8610026315	0.8792272806	0.0379207267	0.0157430000	0	0	209321984	-0.0534445718	0.0912639052	-0.1815237254
9	1305031453.8696179390	0.8548775315	0.8603220648	0.8792272806	0.0357418020	0.0203140000	0	0	209321984	-0.0701573864	0.0963516980	-0.2008123994
10	1305031453.9725921154	0.8392972946	0.8582195878	0.8792272806	0.0382048301	0.0227300000	0	0	209321984	-0.0817240924	0.1067498550	-0.2260290980
11	1305031454.0726900101	0.8209579587	0.8548321670	0.8792272806	0.0408695272	0.0147700000	0	0	209321984	-0.0943506360	0.1148023903	-0.2318661958
12	1305031454.1277010441	0.8257598281	0.8524094721	0.8792272806	0.0450303493	0.0144570000	0	0	209321984	-0.1274558008	0.1192012504	-0.2213654220
13	1305031454.1596720219	0.8314747810	0.8507991112	0.8792272806	0.0436883168	0.0157580000	0	0	209321984	-0.1381651461	0.1211205572	-0.2344957292
14	1305031454.1916580200	0.8287798166	0.8492263045	0.8792272806	0.0426379396	0.0162350000	0	0	209321984	-0.1470730156	0.1234224960	-0.2309284508
15	1305031454.2596271038	0.8157924414	0.8469973803	0.8792272806	0.0453481152	0.0147000000	0	0	209321984	-0.1529779732	0.1190985963	-0.2321073711
16	1305031454.2916390896	0.8360503316	0.8463131897	0.8792272806	0.0460209552	0.0159990000	0	0	209321984	-0.1942497343	0.1385079026	-0.2174923271
17	1305031454.3596360683	0.8365182281	0.8457370155	0.8792272806	0.0462956550	0.0168970000	0	0	209321984	-0.2147771567	0.1392028630	-0.2170255482
18	1305031454.4274649620	0.8342416883	0.8450983862	0.8792272806	0.0474499651	0.0153490000	0	0	209321984	-0.2248702496	0.1466705948	-0.2183314860
19	1305031454.4599130154	0.8292651176	0.8442650563	0.8792272806	0.0465225457	0.0186590000	0	0	209321984	-0.2300748825	0.1445247680	-0.2179415226
20	1305031454.4916169643	0.8274092078	0.8434222639	0.8792272806	0.0460774239	0.0156040000	0	0	209321984	-0.2348176539	0.1490046084	-0.2175180614
21	1305031454.5595750809	0.8272027969	0.8426499083	0.8792272806	0.0488873227	0.0165630000	0	0	209321984	-0.2452392727	0.1660773754	-0.2193724215
22	1305031454.5916349888	0.8268457055	0.8419315354	0.8792272806	0.0481020365	0.0170090000	0	0	209321984	-0.2502274811	0.1697086692	-0.2202554941
23	1305031454.6918840408	0.8291940689	0.8413777325	0.8792272806	0.0498573642	0.0210170000	0	0	209321984	-0.2539161444	0.2013351619	-0.2263792306
24	1305031454.7276589870	0.8161623478	0.8403270915	0.8792272806	0.0490967392	0.0208010000	0	0	209321984	-0.2453297973	0.1986563951	-0.2205725014
25	1305031454.8275699615	0.7994493246	0.8386919808	0.8792272806	0.0508484280	0.0158070000	0	0	209321984	-0.2293941528	0.2117855698	-0.2179383934
26	1305031454.9275670052	0.7957056761	0.8370386614	0.8792272806	0.0510570698	0.0156990000	0	0	209321984	-0.2311393917	0.2452665716	-0.2179133743
27	1305031454.9730811119	0.7927937508	0.8353999610	0.8792272806	0.0502526086	0.0158080000	0	0	209321984	-0.2361602932	0.2545320392	-0.2216466963
28	1305031455.0107591152	0.7869573236	0.8336698668	0.8792272806	0.0494408052	0.0162090000	0	0	209321984	-0.2383184731	0.2633321583	-0.2237959206
29	1305031455.0742819309	0.7846712470	0.8319802593	0.8792272806	0.0487000470	0.0179670000	0	0	209321984	-0.2466103733	0.2879988253	-0.2318380326
30	1305031455.1727709770	0.7800632119	0.8302496910	0.8792272806	0.0483040202	0.0188820000	0	0	209321984	-0.2666498423	0.3154346347	-0.2470878661
31	1305031455.2409598827	0.7771410942	0.8285365105	0.8792272806	0.0478498180	0.0177380000	0	0	209321984	-0.2854221463	0.3292323053	-0.2542147934
32	1305031455.3103029728	0.7777175307	0.8269484174	0.8792272806	0.0491459719	0.0177860000	0	0	209321984	-0.3056067824	0.3427275419	-0.2638779283
33	1305031455.4423799515	0.7743603587	0.8253548398	0.8792272806	0.0527687210	0.0171190000	0	0	209321984	-0.3452503383	0.3547125757	-0.2813180089
34	1305031455.5276100636	0.7892428637	0.8242927229	0.8792272806	0.0552295177	0.0161170000	0	0	209321984	-0.3891534209	0.3562052250	-0.3060460389
35	1305031455.5596690178	0.7859387994	0.8231968965	0.8792272806	0.0548151301	0.0173490000	0	0	209321984	-0.4033125341	0.3633249998	-0.3102375269
36	1305031455.6596150398	0.7911246419	0.8223060005	0.8792272806	0.0564677286	0.0181200000	0	0	209321984	-0.4495131075	0.3615975976	-0.3378119469
37	1305031455.6916050911	0.7967585325	0.8216155284	0.8792272806	0.0557555803	0.0176950000	0	0	209321984	-0.4651743472	0.3617010713	-0.3500092924
38	1305031455.7420051098	0.7950992584	0.8209177318	0.8792272806	0.0550817202	0.0174120000	0	0	209321984	-0.4812865257	0.3583391309	-0.3627400398
39	1305031455.8091089725	0.8114222884	0.8206742589	0.8792272806	0.0546161526	0.0202010000	0	0	209321984	-0.5147683024	0.3519484997	-0.3898762465
40	1305031455.8916571140	0.8291635513	0.8208864912	0.8792272806	0.0541212005	0.0185310000	0	0	209321984	-0.5507264733	0.3442736268	-0.4285796881
41	1305031455.9279549122	0.8324636817	0.8211688617	0.8792272806	0.0534661354	0.0199610000	0	0	209321984	-0.5613472462	0.3376052380	-0.4392527640
42	1305031456.0277700424	0.8484670520	0.8218188186	0.8792272806	0.0534342038	0.0176910000	0	0	209321984	-0.5894906521	0.3413688242	-0.4683340788
43	1305031456.0597128868	0.8524466753	0.8225310944	0.8792272806	0.0529151378	0.0178380000	0	0	209321984	-0.6065449715	0.3302968144	-0.4761473238
44	1305031456.1408360004	0.8497647643	0.8231500414	0.8792272806	0.0523248445	0.0182640000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
45	1305031456.3277180195	0.8530586362	0.8238146769	0.8792272806	0.0597008057	0.0162190000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
46	1305031456.3916189671	0.8614681363	0.8246332303	0.8792272806	0.0604618158	0.0154080000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
47	1305031456.4916770458	0.8784855008	0.8257790233	0.8792272806	0.0601399249	0.0154880000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
48	1305031456.5418319702	0.8889664412	0.8270954279	0.8889664412	0.0596593696	0.0158640000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
49	1305031456.6758348942	0.9200291634	0.8289920347	0.9200291634	0.0595764260	0.0152130000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
50	1305031456.7596149445	0.9415749907	0.8312436938	0.9415749907	0.0600988820	0.0156590000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
51	1305031456.8276031017	0.9569164515	0.8337078655	0.9569164515	0.0600163532	0.0158860000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
52	1305031456.8596339226	0.9671744704	0.8362745310	0.9671744704	0.0594861115	0.0163720000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
53	1305031456.8916718960	0.9743154645	0.8388790769	0.9743154645	0.0589945342	0.0164070000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
54	1305031456.9276900291	0.9812637568	0.8415158303	0.9812637568	0.0585404584	0.0167960000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
55	1305031457.0061929226	0.9969698787	0.8443422675	0.9969698787	0.0582117246	0.0163370000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
56	1305031457.0760109425	1.0065602064	0.8472390164	1.0065602064	0.0578127923	0.0157580000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
57	1305031457.1596930027	1.0128259659	0.8501440506	1.0128259659	0.0574119022	0.0165700000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
58	1305031457.2093360424	1.0146855116	0.8529809724	1.0146855116	0.0569066984	0.0165500000	0	0	209321984	-0.6250604391	0.3261129260	-0.4727581143
