SLAMBench Report run started:	2020-02-28 08:00:55

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1DESK2-ORB-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_desk2.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031526.7215869427	0.9549202919	0.9549202919	0.9549202919	0.0000000000	0.0137310000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031526.7559568882	0.9448194504	0.9498698711	0.9549202919	0.0813684240	0.0197650000	0	0	209321984	0.0017861243	-0.0033548311	-0.0121109597
3	1305031526.7886810303	0.9343779683	0.9447059035	0.9549202919	0.0900142419	0.0174840000	0	0	209321984	0.0073424974	-0.0053400332	-0.0166473109
4	1305031526.8226430416	0.9235534668	0.9394177943	0.9549202919	0.0943181186	0.0163080000	0	0	209321984	0.0076873475	-0.0115718059	-0.0287664980
5	1305031526.8568439484	0.9218472838	0.9359036922	0.9549202919	0.0938968283	0.0152390000	0	0	209321984	0.0015890831	-0.0024410598	-0.0493289717
6	1305031526.8884649277	0.9143168330	0.9323058824	0.9549202919	0.0922537824	0.0165620000	0	0	209321984	0.0016650278	-0.0042943293	-0.0576130971
7	1305031526.9205780029	0.9152272940	0.9298660840	0.9549202919	0.0902386821	0.0165380000	0	0	209321984	-0.0068821437	0.0021135630	-0.0703036487
8	1305031526.9550330639	0.9102175236	0.9274100140	0.9549202919	0.0888186383	0.0157220000	0	0	209321984	-0.0134764416	0.0066553559	-0.0848470628
9	1305031526.9876060486	0.9119846225	0.9256960816	0.9549202919	0.0867745215	0.0168180000	0	0	209321984	-0.0222032573	0.0058761109	-0.1040395275
10	1305031527.0207910538	0.9071683884	0.9238433123	0.9549202919	0.0837191652	0.0172080000	0	0	209321984	-0.0242961943	0.0105498098	-0.1069016904
11	1305031527.0550699234	0.9032589793	0.9219720093	0.9549202919	0.0836878867	0.0158660000	0	0	209321984	-0.0277139284	0.0104526300	-0.1183678657
12	1305031527.0869650841	0.9072648883	0.9207464159	0.9549202919	0.0810473317	0.0168540000	0	0	209321984	-0.0361579359	0.0256640278	-0.1301176846
13	1305031527.1198539734	0.9103826284	0.9199492014	0.9549202919	0.0783279640	0.0170670000	0	0	209321984	-0.0442334376	0.0242015757	-0.1399120986
14	1305031527.1554648876	0.9045322537	0.9188479909	0.9549202919	0.0762962180	0.0157050000	0	0	209321984	-0.0440907925	0.0288792886	-0.1442313641
15	1305031527.1864469051	0.9053125978	0.9179456313	0.9549202919	0.0737049748	0.0174630000	0	0	209321984	-0.0470129736	0.0388288498	-0.1514639258
16	1305031527.2222189903	0.9077299833	0.9173071533	0.9549202919	0.0712604653	0.0177120000	0	0	209321984	-0.0507340953	0.0412651040	-0.1592179984
17	1305031527.2562749386	0.9095190167	0.9168490277	0.9549202919	0.0697222002	0.0165780000	0	0	209321984	-0.0525022633	0.0517318547	-0.1593583524
18	1305031527.2870600224	0.9168882370	0.9168512060	0.9549202919	0.0685917336	0.0161300000	0	0	209321984	-0.0584214441	0.0591008402	-0.1595701128
19	1305031527.3232131004	0.9352648258	0.9178203438	0.9549202919	0.0837185792	0.0169330000	0	0	209321984	-0.0601329133	0.0589968637	-0.1567965448
20	1305031527.3551969528	0.9301999807	0.9184393257	0.9549202919	0.0821086973	0.0164640000	0	0	209321984	-0.0557986833	0.0634193793	-0.1443267018
21	1305031527.3884708881	0.9288449883	0.9189348334	0.9549202919	0.0805328469	0.0162700000	0	0	209321984	-0.0546503030	0.0650198236	-0.1400230229
22	1305031527.4229259491	0.9266698956	0.9192864272	0.9549202919	0.0790553267	0.0172890000	0	0	209321984	-0.0522944182	0.0706263483	-0.1364533603
