SLAMBench Report run started:	2020-02-28 08:00:39

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1DESK2-ORB-INT-00080.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_desk2.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031526.6883559227	0.9578389525	0.9578389525	0.9578389525	0.0000000000	0.0154480000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031526.7215869427	0.9519897103	0.9549143314	0.9578389525	0.0578736141	0.0223050000	0	0	209321984	0.0026561583	-0.0008740387	-0.0050062519
3	1305031526.7559568882	0.9420071244	0.9506119291	0.9578389525	0.0705868709	0.0187390000	0	0	209321984	0.0044730050	-0.0013501379	-0.0160606578
4	1305031526.7886810303	0.9294188023	0.9453136474	0.9578389525	0.0807966321	0.0164970000	0	0	209321984	0.0118506877	-0.0086090965	-0.0247342326
5	1305031526.8226430416	0.9281699061	0.9418848991	0.9578389525	0.0880621953	0.0147160000	0	0	209321984	0.0026859103	-0.0090734828	-0.0395879634
6	1305031526.8568439484	0.9236251116	0.9388416012	0.9578389525	0.0881904768	0.0171140000	0	0	209321984	-0.0003607594	-0.0009734584	-0.0585826114
7	1305031526.8884649277	0.9173180461	0.9357668076	0.9578389525	0.0877965572	0.0167510000	0	0	209321984	-0.0015783724	-0.0042762365	-0.0722814426
8	1305031526.9205780029	0.9206355810	0.9338754043	0.9578389525	0.0866743410	0.0178780000	0	0	209321984	-0.0122499932	0.0056041218	-0.0839686915
9	1305031526.9550330639	0.9158279896	0.9318701360	0.9578389525	0.0857594263	0.0150160000	0	0	209321984	-0.0189178959	0.0096124932	-0.0966183320
10	1305031526.9876060486	0.9176263213	0.9304457545	0.9578389525	0.0842031199	0.0163480000	0	0	209321984	-0.0274681170	0.0081781317	-0.1169454604
11	1305031527.0207910538	0.9188231826	0.9293891571	0.9578389525	0.0817289762	0.0172460000	0	0	209321984	-0.0350712761	0.0188615136	-0.1255875677
12	1305031527.0550699234	0.9130148888	0.9280246347	0.9578389525	0.0819250797	0.0154950000	0	0	209321984	-0.0365152322	0.0183165185	-0.1357096434
13	1305031527.0869650841	0.9144335985	0.9269791704	0.9578389525	0.0794881883	0.0202650000	0	0	209321984	-0.0427374654	0.0263198651	-0.1437008530
14	1305031527.1198539734	0.9139158130	0.9260460734	0.9578389525	0.0770591045	0.0178860000	0	0	209321984	-0.0470476002	0.0253587887	-0.1529923826
15	1305031527.1554648876	0.9094227552	0.9249378522	0.9578389525	0.0752624090	0.0160220000	0	0	209321984	-0.0482717603	0.0278007612	-0.1587650180
16	1305031527.1864469051	0.9130930901	0.9241975546	0.9578389525	0.0728816367	0.0171520000	0	0	209321984	-0.0539759845	0.0357062332	-0.1682478189
17	1305031527.2222189903	0.9139711857	0.9235960035	0.9578389525	0.0706120248	0.0181950000	0	0	209321984	-0.0561856404	0.0359806046	-0.1754578948
18	1305031527.2562749386	0.9170926213	0.9232347045	0.9578389525	0.0693237865	0.0164580000	0	0	209321984	-0.0592736751	0.0510590710	-0.1717624068
19	1305031527.2870600224	0.9232788086	0.9232370257	0.9578389525	0.0682682073	0.0161210000	0	0	209321984	-0.0641862452	0.0571057759	-0.1707769334
20	1305031527.3232131004	0.9358081222	0.9238655806	0.9578389525	0.0822871527	0.0166470000	0	0	209321984	-0.0599478371	0.0541650951	-0.1674391776
21	1305031527.3551969528	0.9330188632	0.9243014512	0.9578389525	0.0808627665	0.0167840000	0	0	209321984	-0.0576897673	0.0538099483	-0.1621875763
22	1305031527.3884708881	0.9320009947	0.9246514304	0.9578389525	0.0794672630	0.0158090000	0	0	209321984	-0.0572160184	0.0522371046	-0.1574059576
23	1305031527.4229259491	0.9320023656	0.9249710363	0.9578389525	0.0780483455	0.0159120000	0	0	209321984	-0.0572617725	0.0585730560	-0.1525232643
24	1305031527.4557731152	0.9325155616	0.9252853915	0.9578389525	0.0767224148	0.0156260000	0	0	209321984	-0.0577903166	0.0681013390	-0.1442273557
25	1305031527.4860548973	0.9289728999	0.9254328918	0.9578389525	0.0755756838	0.0157640000	0	0	209321984	-0.0546052344	0.0661365166	-0.1412417293
26	1305031527.5223970413	0.9288793206	0.9255654468	0.9578389525	0.0745087856	0.0164010000	0	0	209321984	-0.0549512506	0.0660355687	-0.1352644563
27	1305031527.5545730591	0.9355697036	0.9259359748	0.9578389525	0.0822831459	0.0170660000	0	0	209321984	-0.0537885875	0.0686064586	-0.1309762150
28	1305031527.5869870186	0.9350501299	0.9262614804	0.9578389525	0.0813861503	0.0164110000	0	0	209321984	-0.0532085113	0.0735497773	-0.1274555027
29	1305031527.6227929592	0.9335185289	0.9265117234	0.9578389525	0.0806088769	0.0155560000	0	0	209321984	-0.0520902872	0.0752624422	-0.1205187514
30	1305031527.6560280323	0.9401836395	0.9269674540	0.9578389525	0.0798532422	0.0197910000	0	0	209321984	-0.0584598556	0.0896644443	-0.1077412516
31	1305031527.6885631084	0.9397877455	0.9273810117	0.9578389525	0.0800231108	0.0176000000	0	0	209321984	-0.0590860173	0.0803380087	-0.1024830937
32	1305031527.7217509747	0.9368951917	0.9276783299	0.9578389525	0.0793415399	0.0162520000	0	0	209321984	-0.0569158494	0.0737440065	-0.0955944136
33	1305031527.7564721107	0.9326643348	0.9278294209	0.9578389525	0.0785180969	0.0167580000	0	0	209321984	-0.0542909354	0.0682583302	-0.0903685763
34	1305031527.7893331051	0.9407611489	0.9282097659	0.9578389525	0.0775438258	0.0165430000	0	0	209321984	-0.0629879683	0.0761792138	-0.0857940465
35	1305031527.8255620003	0.9380320907	0.9284904037	0.9578389525	0.0768048804	0.0173260000	0	0	209321984	-0.0633952171	0.0698381215	-0.0815931186
36	1305031527.8578550816	0.9428274632	0.9288886554	0.9578389525	0.0757911231	0.0179660000	0	0	209321984	-0.0700609237	0.0699679106	-0.0819858387
37	1305031527.8878660202	0.9592221975	0.9297084808	0.9592221975	0.0749077361	0.0169710000	0	0	209321984	-0.0884695500	0.0834375843	-0.0770374313
38	1305031527.9222140312	0.9580806494	0.9304551168	0.9592221975	0.0740016242	0.0165650000	0	0	209321984	-0.0925760716	0.0795696080	-0.0723961964
39	1305031527.9544899464	0.9568169713	0.9311310618	0.9592221975	0.0732963222	0.0156750000	0	0	209321984	-0.0969987959	0.0667328760	-0.0688227564
40	1305031527.9879770279	0.9555749893	0.9317421600	0.9592221975	0.0731791004	0.0166680000	0	0	209321984	-0.0996721908	0.0801031813	-0.0701700300
41	1305031528.0256140232	0.9542413950	0.9322909219	0.9592221975	0.0729792992	0.0176000000	0	0	209321984	-0.1058734879	0.0832293406	-0.0680475011
42	1305031528.0561261177	0.9566193819	0.9328701709	0.9592221975	0.0727856294	0.0160960000	0	0	209321984	-0.1152801067	0.0783756524	-0.0633674413
43	1305031528.0852971077	0.9624186158	0.9335573440	0.9624186158	0.0728696629	0.0161770000	0	0	209321984	-0.1275699437	0.0850142390	-0.0670747310
44	1305031528.1243329048	0.9591437578	0.9341388534	0.9624186158	0.0731269419	0.0158910000	0	0	209321984	-0.1343138218	0.0841950998	-0.0712340474
45	1305031528.1518731117	0.9610474110	0.9347368214	0.9624186158	0.0730919399	0.0171040000	0	0	209321984	-0.1403515637	0.0876834616	-0.0802529231
46	1305031528.1868720055	0.9515298605	0.9351018875	0.9624186158	0.0733168597	0.0181170000	0	0	209321984	-0.1420856565	0.0881933346	-0.0803894252
47	1305031528.2208869457	0.9558851123	0.9355440837	0.9624186158	0.0730930656	0.0169140000	0	0	209321984	-0.1551143527	0.0815515518	-0.0874044150
48	1305031528.2519528866	0.9583641291	0.9360195013	0.9624186158	0.0733560995	0.0164630000	0	0	209321984	-0.1657226235	0.0903648511	-0.0893688649
49	1305031528.2842628956	0.9621928930	0.9365536522	0.9624186158	0.0733157475	0.0162160000	0	0	209321984	-0.1824747324	0.0943989828	-0.0966396257
50	1305031528.3216390610	0.9787146449	0.9373968720	0.9787146449	0.0732338242	0.0169350000	0	0	209321984	-0.2079391330	0.1034209505	-0.0969688520
51	1305031528.3550319672	0.9652433991	0.9379428824	0.9787146449	0.0728074235	0.0172550000	0	0	209321984	-0.2062576860	0.1053077057	-0.1056564450
52	1305031528.3848390579	0.9686659575	0.9385337107	0.9787146449	0.0722959877	0.0156510000	0	0	209321984	-0.2186169028	0.1108874530	-0.1121142507
53	1305031528.4240059853	0.9503366947	0.9387564086	0.9787146449	0.0718381166	0.0153990000	0	0	209321984	-0.2137833238	0.1057935208	-0.1229629368
54	1305031528.4539620876	0.9515535831	0.9389933933	0.9787146449	0.0714358787	0.0148980000	0	0	209321984	-0.2247097343	0.1103388444	-0.1306476146
55	1305031528.4907200336	0.9579200149	0.9393375137	0.9787146449	0.0710977806	0.0154950000	0	0	209321984	-0.2467695028	0.1071178094	-0.1312794983
56	1305031528.5246489048	0.9536232352	0.9395926158	0.9787146449	0.0707517184	0.0159410000	0	0	209321984	-0.2526781261	0.1077223718	-0.1355099082
57	1305031528.5570690632	0.9606384039	0.9399618402	0.9787146449	0.0704244595	0.0157700000	0	0	209321984	-0.2695525587	0.1166030392	-0.1370126456
58	1305031528.5929241180	0.9473264813	0.9400888168	0.9787146449	0.0701146708	0.0162800000	0	0	209321984	-0.2717496157	0.1171638221	-0.1354171336
59	1305031528.6234068871	0.9462971091	0.9401940421	0.9787146449	0.0697190918	0.0150800000	0	0	209321984	-0.2824567854	0.1169031486	-0.1356621683
60	1305031528.6540329456	0.9580599070	0.9404918065	0.9787146449	0.0693044573	0.0170840000	0	0	209321984	-0.3038308620	0.1294100732	-0.1364730746
