SLAMBench Report run started:	2020-02-28 07:54:13

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1FLOOR-ORB-INT-00080.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_floor.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305033527.6700339317	0.2903554440	0.2903554440	0.2903554440	0.0000000000	0.0884650000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305033527.7019839287	0.2874168754	0.2888861597	0.2903554440	0.0096972231	0.0407920000	0	0	209321984	-0.0026097766	0.0054657860	-0.0064180917
3	1305033527.7339050770	0.2843062282	0.2873595158	0.2903554440	0.0109352948	0.0301940000	0	0	209321984	-0.0047412263	0.0123691028	-0.0118416082
4	1305033527.7699429989	0.2870920002	0.2872926369	0.2903554440	0.0099404847	0.0302180000	0	0	209321984	-0.0027889493	0.0142873041	-0.0167332850
5	1305033527.8019809723	0.2868437171	0.2872028530	0.2903554440	0.0093198000	0.0332360000	0	0	209321984	-0.0049377717	0.0174714793	-0.0209058486
6	1305033527.8339068890	0.2874619067	0.2872460286	0.2903554440	0.0096865311	0.0187080000	0	0	209321984	-0.0042788186	0.0192074832	-0.0252951533
7	1305033527.8699409962	0.2896330357	0.2875870296	0.2903554440	0.0088757785	0.0254410000	0	0	209321984	-0.0035287365	0.0212559775	-0.0287512951
8	1305033527.9019598961	0.2906872332	0.2879745550	0.2906872332	0.0088506924	0.0183800000	0	0	209321984	-0.0039877789	0.0222502667	-0.0314056501
9	1305033527.9339289665	0.2897681892	0.2881738477	0.2906872332	0.0093640119	0.0183300000	0	0	209321984	-0.0032988708	0.0248595737	-0.0344910994
10	1305033527.9699800014	0.2904618979	0.2884026527	0.2906872332	0.0088287655	0.0240210000	0	0	209321984	-0.0034077503	0.0261751935	-0.0374956094
11	1305033528.0020189285	0.2891422212	0.2884698862	0.2906872332	0.0084338294	0.0169730000	0	0	209321984	-0.0040329900	0.0283742025	-0.0402768664
12	1305033528.0340089798	0.2894604504	0.2885524333	0.2906872332	0.0084814374	0.0169010000	0	0	209321984	-0.0049993484	0.0286491364	-0.0409387462
13	1305033528.0700910091	0.2897246480	0.2886426036	0.2906872332	0.0081374884	0.0168400000	0	0	209321984	-0.0058359196	0.0282244533	-0.0415338613
14	1305033528.1020359993	0.2900962830	0.2887464379	0.2906872332	0.0078271374	0.0167270000	0	0	209321984	-0.0056575495	0.0275155865	-0.0411201864
15	1305033528.1339650154	0.2927795649	0.2890153130	0.2927795649	0.0077111567	0.0165020000	0	0	209321984	-0.0037705814	0.0233140364	-0.0400475152
16	1305033528.1698861122	0.2923481464	0.2892236151	0.2927795649	0.0075954780	0.0167520000	0	0	209321984	-0.0045290967	0.0222010501	-0.0375274532
17	1305033528.2020111084	0.2914206088	0.2893528500	0.2927795649	0.0075710289	0.0177690000	0	0	209321984	-0.0054575494	0.0205410793	-0.0363104045
18	1305033528.2340259552	0.2930238545	0.2895567947	0.2930238545	0.0073937342	0.0186630000	0	0	209321984	-0.0046655126	0.0186763704	-0.0318858698
19	1305033528.2699530125	0.2936685085	0.2897732007	0.2936685085	0.0076177245	0.0173940000	0	0	209321984	-0.0003677913	0.0169042088	-0.0271910056
20	1305033528.3019890785	0.2963865697	0.2901038691	0.2963865697	0.0077296652	0.0170100000	0	0	209321984	0.0017808862	0.0133803338	-0.0227127578
21	1305033528.3339729309	0.2970635295	0.2904352815	0.2970635295	0.0079282831	0.0166710000	0	0	209321984	0.0019179112	0.0126875434	-0.0173487440
22	1305033528.3699600697	0.3003191352	0.2908845476	0.3003191352	0.0080459598	0.0165750000	0	0	209321984	0.0039405590	0.0072596506	-0.0113204708
23	1305033528.4020609856	0.3023800850	0.2913843536	0.3023800850	0.0079591257	0.0166940000	0	0	209321984	0.0062726210	0.0036718291	-0.0059382035
24	1305033528.4339439869	0.3045663834	0.2919336048	0.3045663834	0.0079223660	0.0162560000	0	0	209321984	0.0079729054	0.0008245468	0.0003651812
25	1305033528.4700179100	0.3065041006	0.2925164247	0.3065041006	0.0077873704	0.0167870000	0	0	209321984	0.0081255529	-0.0041924794	0.0070623555
26	1305033528.5022599697	0.3092716932	0.2931608581	0.3092716932	0.0077012473	0.0183690000	0	0	209321984	0.0095033646	-0.0076338905	0.0140508534
27	1305033528.5340139866	0.3127839565	0.2938876395	0.3127839565	0.0076360214	0.0167380000	0	0	209321984	0.0121481437	-0.0120449131	0.0220674239
28	1305033528.5700008869	0.3176725507	0.2947371006	0.3176725507	0.0075535488	0.0166800000	0	0	209321984	0.0152337616	-0.0203366280	0.0310400967
29	1305033528.6019020081	0.3224514127	0.2956927665	0.3224514127	0.0075641702	0.0169330000	0	0	209321984	0.0182214305	-0.0264212806	0.0396213196
