SLAMBench Report run started:	2020-02-28 08:03:35

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1ROOM-ORB-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_room.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031910.8032488823	1.3004142046	1.3004142046	1.3004142046	0.0000000000	0.0146080000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031910.8352150917	1.2989400625	1.2996771336	1.3004142046	0.0263120867	0.0198390000	0	0	209321984	-0.0036297557	-0.0038768700	0.0055109500
3	1305031910.8711669445	1.2984077930	1.2992540201	1.3004142046	0.0323915898	0.0162560000	0	0	209321984	-0.0097114146	-0.0066343974	0.0107971802
4	1305031910.9036819935	1.2978525162	1.2989036441	1.3004142046	0.0298215295	0.0162370000	0	0	209321984	-0.0119550992	-0.0087823868	0.0185194314
5	1305031910.9352209568	1.2971347570	1.2985498667	1.3004142046	0.0279376579	0.0175210000	0	0	209321984	-0.0128697753	-0.0148333134	0.0264419671
6	1305031911.0032019615	1.2947341204	1.2979139090	1.3004142046	0.0367387303	0.0185800000	0	0	209321984	-0.0346803777	-0.0061767856	0.0369024314
7	1305031911.0350561142	1.2903411388	1.2968320847	1.3004142046	0.0384832484	0.0176620000	0	0	209321984	-0.0430925228	-0.0148258368	0.0424960703
8	1305031911.0745089054	1.2892236710	1.2958810329	1.3004142046	0.0460481916	0.0175610000	0	0	209321984	-0.0590118244	-0.0141448611	0.0426622033
9	1305031911.1033320427	1.2865341902	1.2948424949	1.3004142046	0.0467754164	0.0174460000	0	0	209321984	-0.0632328391	-0.0190697890	0.0537787490
10	1305031911.1356830597	1.2973620892	1.2950944543	1.3004142046	0.0468833382	0.0169980000	0	0	209321984	-0.0539645404	-0.0288352463	0.0545922853
11	1305031911.1718308926	1.2957355976	1.2951527400	1.3004142046	0.0475251944	0.0179970000	0	0	209321984	-0.0679412261	-0.0270171370	0.0556474961
12	1305031911.2075679302	1.2972245216	1.2953253885	1.3004142046	0.0464148710	0.0178620000	0	0	209321984	-0.0721367896	-0.0289278757	0.0581829771
13	1305031911.2356600761	1.2945575714	1.2952663257	1.3004142046	0.0461607709	0.0172090000	0	0	209321984	-0.0780497938	-0.0305163097	0.0670330375
14	1305031911.2684969902	1.2966198921	1.2953630090	1.3004142046	0.0448774484	0.0170540000	0	0	209321984	-0.0807230324	-0.0278380010	0.0734927505
15	1305031911.3035039902	1.2975703478	1.2955101649	1.3004142046	0.0446530132	0.0168730000	0	0	209321984	-0.0846771002	-0.0320025235	0.0800408497
16	1305031911.3716309071	1.3033047915	1.2959973291	1.3033047915	0.0453065065	0.0167850000	0	0	209321984	-0.0859427154	-0.0369050130	0.0922500268
17	1305031911.4396560192	1.3005017042	1.2962622923	1.3033047915	0.0457182226	0.0178340000	0	0	209321984	-0.1051310599	-0.0390172452	0.0960647613
18	1305031911.4713981152	1.2988576889	1.2964064810	1.3033047915	0.0454923546	0.0181550000	0	0	209321984	-0.1139869541	-0.0399096608	0.0970166475
19	1305031911.5034759045	1.2996815443	1.2965788528	1.3033047915	0.0456725207	0.0166340000	0	0	209321984	-0.1187374294	-0.0412894934	0.1000697613
20	1305031911.5396358967	1.3070168495	1.2971007526	1.3070168495	0.0448632875	0.0165810000	0	0	209321984	-0.1123872325	-0.0374906063	0.1109955087
21	1305031911.5715429783	1.3011925220	1.2972955988	1.3070168495	0.0454620185	0.0164490000	0	0	209321984	-0.1221257374	-0.0458461009	0.1142310202
22	1305031911.6036169529	1.3004738092	1.2974400629	1.3070168495	0.0460374891	0.0173120000	0	0	209321984	-0.1298043728	-0.0457150489	0.1157228127
23	1305031911.6395618916	1.3044381142	1.2977443260	1.3070168495	0.0457180309	0.0175500000	0	0	209321984	-0.1284219325	-0.0382789932	0.1292306483
24	1305031911.6714689732	1.3041118383	1.2980096390	1.3070168495	0.0451847158	0.0168160000	0	0	209321984	-0.1327649057	-0.0376482308	0.1343135238
25	1305031911.7051529884	1.3040403128	1.2982508659	1.3070168495	0.0445160734	0.0177190000	0	0	209321984	-0.1367192864	-0.0341683254	0.1417880505
26	1305031911.7713720798	1.3065704107	1.2985708484	1.3070168495	0.0448298879	0.0180460000	0	0	209321984	-0.1375318021	-0.0265014246	0.1635153443
27	1305031911.8035399914	1.3057785034	1.2988377986	1.3070168495	0.0441083083	0.0173040000	0	0	209321984	-0.1423004419	-0.0237086564	0.1681383103
28	1305031911.8396110535	1.3071182966	1.2991335307	1.3071182966	0.0436110685	0.0178930000	0	0	209321984	-0.1497148424	-0.0204063356	0.1669152081
29	1305031911.8716499805	1.3013411760	1.2992096564	1.3071182966	0.0429237050	0.0181580000	0	0	209321984	-0.1578498185	-0.0176599696	0.1747339070
30	1305031911.9042809010	1.2974350452	1.2991505027	1.3071182966	0.0426345669	0.0169060000	0	0	209321984	-0.1647944003	-0.0199172795	0.1760262251
31	1305031911.9403378963	1.2965195179	1.2990656322	1.3071182966	0.0426352044	0.0177900000	0	0	209321984	-0.1675613970	-0.0189815015	0.1806638539
32	1305031911.9720439911	1.2926132679	1.2988639958	1.3071182966	0.0427683236	0.0174260000	0	0	209321984	-0.1754383594	-0.0201554019	0.1794755310
33	1305031912.0044300556	1.2891464233	1.2985695239	1.3071182966	0.0425356936	0.0162080000	0	0	209321984	-0.1770218760	-0.0165739283	0.1893742383
34	1305031912.0405728817	1.2838630676	1.2981369811	1.3071182966	0.0423165858	0.0160030000	0	0	209321984	-0.1742760092	-0.0185528453	0.2041040808
35	1305031912.0697710514	1.2776540518	1.2975517545	1.3071182966	0.0419851144	0.0161440000	0	0	209321984	-0.1696412116	-0.0263123475	0.2179159671
36	1305031912.1043269634	1.2734780312	1.2968830400	1.3071182966	0.0416549587	0.0175570000	0	0	209321984	-0.1672996283	-0.0293194838	0.2269679308
37	1305031912.1714389324	1.2625187635	1.2959542758	1.3071182966	0.0430322900	0.0182030000	0	0	209321984	-0.1678042859	-0.0354228206	0.2417271584
38	1305031912.2041089535	1.2640535831	1.2951147839	1.3071182966	0.0425975164	0.0171510000	0	0	209321984	-0.1654738337	-0.0334380195	0.2423209250
39	1305031912.2398200035	1.2623413801	1.2942744402	1.3071182966	0.0423183825	0.0169560000	0	0	209321984	-0.1639488637	-0.0326855667	0.2454416156
40	1305031912.2721009254	1.2560014725	1.2933176160	1.3071182966	0.0419199895	0.0169370000	0	0	209321984	-0.1668912917	-0.0425260030	0.2426619679
41	1305031912.3038771152	1.2577750683	1.2924507246	1.3071182966	0.0415703788	0.0174160000	0	0	209321984	-0.1614169478	-0.0401167423	0.2450562567
42	1305031912.3404529095	1.2518558502	1.2914841800	1.3071182966	0.0413386054	0.0179130000	0	0	209321984	-0.1601841450	-0.0466047898	0.2481698245
43	1305031912.3715400696	1.2538372278	1.2906086694	1.3071182966	0.0409543883	0.0173290000	0	0	209321984	-0.1558923572	-0.0461637080	0.2465055883
44	1305031912.4037930965	1.2552977800	1.2898061492	1.3071182966	0.0408525503	0.0169550000	0	0	209321984	-0.1558623314	-0.0405747928	0.2443785816
45	1305031912.4380478859	1.2547099590	1.2890262339	1.3071182966	0.0405096567	0.0168700000	0	0	209321984	-0.1527248174	-0.0420902632	0.2460695654
46	1305031912.4723200798	1.2551009655	1.2882887281	1.3071182966	0.0403964593	0.0165400000	0	0	209321984	-0.1501733512	-0.0381476209	0.2475620359
47	1305031912.5089340210	1.2560155392	1.2876020645	1.3071182966	0.0400500553	0.0164930000	0	0	209321984	-0.1428260356	-0.0374795571	0.2538458109
48	1305031912.5403261185	1.2478336096	1.2867735550	1.3071182966	0.0396641042	0.0177740000	0	0	209321984	-0.1447656751	-0.0430503599	0.2570724785
49	1305031912.5720250607	1.2445775270	1.2859124116	1.3071182966	0.0392926500	0.0181550000	0	0	209321984	-0.1426894665	-0.0455501676	0.2609140575
50	1305031912.6376569271	1.2417992353	1.2850301480	1.3071182966	0.0389946288	0.0173060000	0	0	209321984	-0.1345365942	-0.0469433181	0.2696942687
