SLAMBench Report run started:	2020-02-28 08:03:02

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1ROOM-ORB-INT-00080.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_room.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031910.7715020180	1.2951954603	1.2951954603	1.2951954603	0.0000000000	0.0165050000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031910.8032488823	1.2932773829	1.2942364216	1.2951954603	0.0107666384	0.0229570000	0	0	209321984	-0.0072208801	-0.0002299660	0.0025639345
3	1305031910.8352150917	1.2912541628	1.2932423353	1.2951954603	0.0192937360	0.0161740000	0	0	209321984	-0.0106994882	-0.0034441811	0.0098449159
4	1305031910.8711669445	1.2891705036	1.2922243774	1.2951954603	0.0244220831	0.0170490000	0	0	209321984	-0.0207825005	-0.0022763414	0.0145324860
5	1305031910.9036819935	1.2883167267	1.2914428473	1.2951954603	0.0248993341	0.0195730000	0	0	209321984	-0.0234066565	-0.0062133791	0.0210824013
6	1305031910.9352209568	1.2890218496	1.2910393476	1.2951954603	0.0246728327	0.0187080000	0	0	209321984	-0.0203853548	-0.0151196038	0.0304625146
7	1305031910.9713380337	1.2861859798	1.2903460094	1.2951954603	0.0275547583	0.0180100000	0	0	209321984	-0.0352499783	-0.0143296300	0.0319634937
8	1305031911.0032019615	1.2865440845	1.2898707688	1.2951954603	0.0267890048	0.0186490000	0	0	209321984	-0.0454455018	-0.0059206337	0.0365619622
9	1305031911.0350561142	1.2869430780	1.2895454698	1.2951954603	0.0307870166	0.0195360000	0	0	209321984	-0.0484898426	-0.0163458735	0.0398517996
10	1305031911.0745089054	1.2869073153	1.2892816544	1.2951954603	0.0379566392	0.0178800000	0	0	209321984	-0.0612810180	-0.0143546015	0.0435734764
