SLAMBench Report run started:	2020-02-28 08:07:46

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1ROOM-ORB-RND-030.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_room.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031910.7715020180	1.2951954603	1.2951954603	1.2951954603	0.0000000000	0.0164000000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031910.8032488823	1.2932773829	1.2942364216	1.2951954603	0.0107666384	0.0203800000	0	0	209321984	-0.0072208801	-0.0002299660	0.0025639345
3	1305031910.8650250435	1.2886083126	1.2923603853	1.2951954603	0.0361256859	0.0171880000	0	0	209321984	-0.0192930959	-0.0027748663	0.0135893552
4	1305031910.8972220421	1.2874599695	1.2911352813	1.2951954603	0.0332332532	0.0182140000	0	0	209321984	-0.0219009835	-0.0064696944	0.0212146845
5	1305031910.9352109432	1.2892946005	1.2907671452	1.2951954603	0.0324224670	0.0180380000	0	0	209321984	-0.0205730759	-0.0155512020	0.0293444004
6	1305031910.9652490616	1.2857778072	1.2899355888	1.2951954603	0.0321177425	0.0182220000	0	0	209321984	-0.0331346728	-0.0137853939	0.0318690054
7	1305031911.0652689934	1.2906093597	1.2900318418	1.2951954603	0.0644374284	0.0187560000	0	0	209321984	-0.0591022298	-0.0120304013	0.0363382772
8	1305031911.1972129345	1.2946352959	1.2906072736	1.2951954603	0.0915969181	0.0169380000	0	0	209321984	-0.0718745738	-0.0259122103	0.0613709763
9	1305031911.2356600761	1.2959947586	1.2912058830	1.2959947586	0.0884333331	0.0211370000	0	0	209321984	-0.0780997127	-0.0321701989	0.0630795434
10	1305031911.3035039902	1.2971568108	1.2918009758	1.2971568108	0.0860387640	0.0168500000	0	0	209321984	-0.0868833289	-0.0328565426	0.0769332647
11	1305031911.3394119740	1.2930682898	1.2919161862	1.2971568108	0.0822334597	0.0163650000	0	0	209321984	-0.0975672752	-0.0351693220	0.0800075084
12	1305031911.3716309071	1.2989636660	1.2925034761	1.2989636660	0.0787313597	0.0163840000	0	0	209321984	-0.0913968086	-0.0365551524	0.0926585048
13	1305031911.4652500153	1.2970592976	1.2928539239	1.2989636660	0.0788295400	0.0159530000	0	0	209321984	-0.1141446605	-0.0363372825	0.0984387547
14	1305031911.5332510471	1.3002429008	1.2933817080	1.3002429008	0.0789740564	0.0171030000	0	0	209321984	-0.1177820489	-0.0395017453	0.1109489202
15	1305031911.5653350353	1.2997993231	1.2938095490	1.3002429008	0.0769448928	0.0182820000	0	0	209321984	-0.1221709102	-0.0424089581	0.1148890853
16	1305031911.5973019600	1.2992978096	1.2941525653	1.3002429008	0.0760639488	0.0169970000	0	0	209321984	-0.1286748350	-0.0495112650	0.1131706983
17	1305031911.6333370209	1.3029526472	1.2946702172	1.3029526472	0.0743730277	0.0162600000	0	0	209321984	-0.1288571060	-0.0372496955	0.1285223365
18	1305031911.6651239395	1.2993338108	1.2949293057	1.3029526472	0.0725920841	0.0160700000	0	0	209321984	-0.1400503516	-0.0341916606	0.1317934990
19	1305031911.7332029343	1.3008030653	1.2952384510	1.3029526472	0.0720389726	0.0159320000	0	0	209321984	-0.1439126134	-0.0305368286	0.1497539282
20	1305031911.8333380222	1.3057762384	1.2957653403	1.3057762384	0.0714846958	0.0168080000	0	0	209321984	-0.1531474292	-0.0185803622	0.1632378548
21	1305031911.8971590996	1.2990686893	1.2959226427	1.3057762384	0.0703741945	0.0177570000	0	0	209321984	-0.1626164913	-0.0177887734	0.1754489094
22	1305031911.9330630302	1.2987405062	1.2960507274	1.3057762384	0.0692813058	0.0159290000	0	0	209321984	-0.1646890193	-0.0179126933	0.1798244268
23	1305031911.9972519875	1.2919263840	1.2958714081	1.3057762384	0.0700455410	0.0149010000	0	0	209321984	-0.1714140773	-0.0157310832	0.1923488528
24	1305031912.0405728817	1.2835996151	1.2953600834	1.3057762384	0.0690368336	0.0184970000	0	0	209321984	-0.1770089269	-0.0182858184	0.2007429302
25	1305031912.0969529152	1.2727763653	1.2944567347	1.3057762384	0.0681738833	0.0174060000	0	0	209321984	-0.1774283201	-0.0240846016	0.2172485590
26	1305031912.2332649231	1.2631958723	1.2932543938	1.3057762384	0.0709221735	0.0155560000	0	0	209321984	-0.1730720699	-0.0346078947	0.2287433594
27	1305031912.2972500324	1.2561534643	1.2918802853	1.3057762384	0.0702122312	0.0154230000	0	0	209321984	-0.1759188026	-0.0407123864	0.2269865274
28	1305031912.3332738876	1.2564474344	1.2906148263	1.3057762384	0.0691300050	0.0165830000	0	0	209321984	-0.1695713699	-0.0354410224	0.2346529067
29	1305031912.3652501106	1.2568895817	1.2894518869	1.3057762384	0.0679653099	0.0180910000	0	0	209321984	-0.1665562242	-0.0365387537	0.2325174212
30	1305031912.4037930965	1.2575693130	1.2883891344	1.3057762384	0.0673546567	0.0166880000	0	0	209321984	-0.1654843688	-0.0326252356	0.2308706194
31	1305031912.4651420116	1.2604339123	1.2874873530	1.3057762384	0.0666966662	0.0162980000	0	0	209321984	-0.1562821865	-0.0316578150	0.2332341671
32	1305031912.5089340210	1.2540850639	1.2864435315	1.3057762384	0.0658790677	0.0164150000	0	0	209321984	-0.1488628089	-0.0332417563	0.2514539361
33	1305031912.5403261185	1.2500699759	1.2853413026	1.3057762384	0.0648718525	0.0162390000	0	0	209321984	-0.1461566687	-0.0339542218	0.2574426532
34	1305031912.5720250607	1.2512408495	1.2843383481	1.3057762384	0.0639840026	0.0161540000	0	0	209321984	-0.1461949348	-0.0353552401	0.2496977150
35	1305031912.6077220440	1.2431457043	1.2831614154	1.3057762384	0.0630506765	0.0158470000	0	0	209321984	-0.1447989345	-0.0407062881	0.2594136596
36	1305031912.7403099537	1.2360023260	1.2818514407	1.3057762384	0.0644985877	0.0170050000	0	0	209321984	-0.1429981291	-0.0446147323	0.2601531148
37	1305031912.7722229958	1.2329233885	1.2805290609	1.3057762384	0.0636966245	0.0179150000	0	0	209321984	-0.1389028132	-0.0394209623	0.2758452892
38	1305031912.8096029758	1.2357552052	1.2793508015	1.3057762384	0.0630126760	0.0169660000	0	0	209321984	-0.1351243854	-0.0330900215	0.2798460722
39	1305031912.8405730724	1.2350459099	1.2782147787	1.3057762384	0.0621912667	0.0164970000	0	0	209321984	-0.1335099638	-0.0324839652	0.2830327749
40	1305031912.9080801010	1.2256073952	1.2768995941	1.3057762384	0.0616592344	0.0166530000	0	0	209321984	-0.1333786547	-0.0395884775	0.2930600643
41	1305031912.9406089783	1.2275176048	1.2756951553	1.3057762384	0.0609059719	0.0165190000	0	0	209321984	-0.1284393668	-0.0449619256	0.2875061631
42	1305031912.9721190929	1.2243610620	1.2744729150	1.3057762384	0.0601769141	0.0163380000	0	0	209321984	-0.1292764097	-0.0475553311	0.2860515416
43	1305031913.0089230537	1.2249587774	1.2733214234	1.3057762384	0.0595239735	0.0163140000	0	0	209321984	-0.1239051074	-0.0535320379	0.2839785218
44	1305031913.0721940994	1.2267594337	1.2722631964	1.3057762384	0.0590494284	0.0163090000	0	0	209321984	-0.1169550419	-0.0537195094	0.2812501788
45	1305031913.1083669662	1.2297288179	1.2713179880	1.3057762384	0.0584843781	0.0163040000	0	0	209321984	-0.1117081866	-0.0524500832	0.2808859944
46	1305031913.1375970840	1.2280609608	1.2703776178	1.3057762384	0.0580207456	0.0157190000	0	0	209321984	-0.1107271835	-0.0491505936	0.2845616341
47	1305031913.1971130371	1.2342039347	1.2696079650	1.3057762384	0.0584412244	0.0166260000	0	0	209321984	-0.1023259982	-0.0496842973	0.2749397457
48	1305031913.2404530048	1.2361272573	1.2689104502	1.3057762384	0.0588974590	0.0175430000	0	0	209321984	-0.0978721678	-0.0472177938	0.2694806755
49	1305031913.2720689774	1.2366095781	1.2682512488	1.3057762384	0.0584736694	0.0161390000	0	0	209321984	-0.0959283710	-0.0424522385	0.2690216899
50	1305031913.3331220150	1.2371848822	1.2676299214	1.3057762384	0.0590982069	0.0159850000	0	0	209321984	-0.0822549239	-0.0562655851	0.2636183202
51	1305031913.3650701046	1.2357950211	1.2670057077	1.3057762384	0.0586426991	0.0159480000	0	0	209321984	-0.0835829824	-0.0537218601	0.2587395310
52	1305031913.4652309418	1.2208863497	1.2661187970	1.3057762384	0.0627226208	0.0155040000	0	0	209321984	-0.0835829824	-0.0537218601	0.2587395310
