SLAMBench Report run started:	2020-02-28 07:23:33

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1RPY-ORB-INT-00080.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_rpy.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031229.5287840366	0.0606188439	0.0606188439	0.0606188439	0.0000000000	0.0152500000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031229.5644419193	0.0578837171	0.0592512805	0.0606188439	0.0520605519	0.0205410000	0	0	209321984	-0.0075337547	-0.0116001200	0.0142613128
3	1305031229.5966169834	0.0762779266	0.0649268292	0.0762779266	0.0545088272	0.0179180000	0	0	209321984	0.0096762208	-0.0195775554	-0.0036216083
4	1305031229.6287899017	0.0685807243	0.0658403030	0.0762779266	0.0467060278	0.0174180000	0	0	209321984	-0.0028000439	-0.0096043060	0.0045182626
5	1305031229.6646571159	0.0788505152	0.0684423454	0.0788505152	0.0443908049	0.0157660000	0	0	209321984	0.0099439044	-0.0256204568	0.0040320931
6	1305031229.6968429089	0.0704156384	0.0687712276	0.0788505152	0.0403277034	0.0166610000	0	0	209321984	0.0084750345	-0.0227657426	0.0152520826
7	1305031229.7290771008	0.0657702610	0.0683425181	0.0788505152	0.0372022474	0.0164740000	0	0	209321984	-0.0009565989	-0.0157538615	0.0185744744
8	1305031229.7648689747	0.0747018456	0.0691374340	0.0788505152	0.0353857370	0.0151920000	0	0	209321984	0.0060874699	-0.0240227059	0.0158613045
9	1305031229.7969229221	0.0737522840	0.0696501951	0.0788505152	0.0335163692	0.0167280000	0	0	209321984	0.0022188900	-0.0247103684	0.0195271932
10	1305031229.8256299496	0.0791060627	0.0705957819	0.0791060627	0.0318476014	0.0170370000	0	0	209321984	0.0013615275	-0.0279318113	0.0168733820
11	1305031229.8630619049	0.0794243738	0.0713983811	0.0794243738	0.0308377288	0.0155970000	0	0	209321984	0.0023832489	-0.0284293257	0.0186238736
12	1305031229.8969380856	0.0780443698	0.0719522135	0.0794243738	0.0310324316	0.0165720000	0	0	209321984	-0.0001379135	-0.0215203818	0.0164318345
13	1305031229.9262549877	0.0769744366	0.0723385384	0.0794243738	0.0298260270	0.0175940000	0	0	209321984	0.0011277273	-0.0207251869	0.0189410653
14	1305031229.9662408829	0.0780609027	0.0727472787	0.0794243738	0.0289353239	0.0159520000	0	0	209321984	0.0101990458	-0.0200340264	0.0218309388
15	1305031229.9979310036	0.0724493191	0.0727274147	0.0794243738	0.0283885160	0.0157620000	0	0	209321984	0.0092832567	-0.0182655137	0.0290765706
16	1305031230.0300021172	0.0740334690	0.0728090431	0.0794243738	0.0277976969	0.0167960000	0	0	209321984	0.0162635744	-0.0193384364	0.0339592099
17	1305031230.0656960011	0.0768760592	0.0730482793	0.0794243738	0.0273928327	0.0175920000	0	0	209321984	0.0144206518	-0.0209423229	0.0325408988
