SLAMBench Report run started:	2020-02-28 07:26:05

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1RPY-ORB-RND-030.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_rpy.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031229.5644249916	0.0642096922	0.0642096922	0.0642096922	0.0000000000	0.0152480000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031229.5966000557	0.0792527124	0.0717312023	0.0792527124	0.0492697172	0.0203990000	0	0	209321984	0.0232647508	-0.0106347352	-0.0101880431
3	1305031229.6287529469	0.0732991993	0.0722538680	0.0792527124	0.0363395600	0.0166650000	0	0	209321984	0.0220187455	-0.0056357700	-0.0025223447
4	1305031229.6968269348	0.0760499835	0.0732028969	0.0792527124	0.0320924276	0.0163080000	0	0	209321984	0.0220980607	-0.0145107601	0.0048013767
5	1305031229.7290639877	0.0729410127	0.0731505200	0.0792527124	0.0280282062	0.0163890000	0	0	209321984	0.0128746657	-0.0120784407	0.0080657694
6	1305031229.7969090939	0.0849731863	0.0751209644	0.0849731863	0.0283300435	0.0150600000	0	0	209321984	0.0263852291	-0.0151885785	0.0040626377
7	1305031229.8630549908	0.0941187516	0.0778349340	0.0941187516	0.0307441059	0.0180500000	0	0	209321984	0.0395806208	-0.0178849772	0.0052380264
8	1305031229.9662408829	0.1021371707	0.0808727136	0.1021371707	0.0561666926	0.0160840000	0	0	209321984	0.0436735451	-0.0149032110	0.0060703326
9	1305031229.9979310036	0.1026532426	0.0832927724	0.1026532426	0.0678479858	0.0148620000	0	0	209321984	0.0517841764	-0.0077344356	0.0111502623
10	1305031230.0300021172	0.0979997218	0.0847634673	0.1026532426	0.0640248623	0.0161980000	0	0	209321984	0.0457280464	-0.0093251606	0.0161734186
11	1305031230.0656960011	0.1007271484	0.0862147110	0.1026532426	0.0609487059	0.0179190000	0	0	209321984	0.0457586609	-0.0100571644	0.0163208917
