SLAMBench Report run started:	2020-02-28 08:07:59

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2360-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_360_hemisphere.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311874903.3227961063	0.0640663579	0.0640663579	0.0640663579	0.0000000000	0.0183230000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311874903.3547680378	0.0730864182	0.0685763881	0.0730864182	0.0118390592	0.0212480000	0	0	209321984	0.0060079787	-0.0019417332	0.0015752984
3	1311874903.3866360188	0.0755968243	0.0709165335	0.0755968243	0.0096132531	0.0158780000	0	0	209321984	0.0060357992	0.0009851231	0.0028961226
4	1311874903.4227960110	0.0627654642	0.0688787661	0.0755968243	0.0123429355	0.0156570000	0	0	209321984	-0.0096472567	0.0059142285	0.0024146519
5	1311874903.4547979832	0.0699194744	0.0690869078	0.0755968243	0.0118432899	0.0152050000	0	0	209321984	-0.0042419424	0.0092545059	0.0058043622
6	1311874903.4866940975	0.0704442188	0.0693131263	0.0755968243	0.0109683669	0.0154910000	0	0	209321984	-0.0046912376	0.0094070230	0.0129273152
7	1311874903.5227789879	0.0683983713	0.0691824470	0.0755968243	0.0106172229	0.0151190000	0	0	209321984	-0.0073318612	0.0042583770	0.0204174276
8	1311874903.5548400879	0.0754243359	0.0699626831	0.0755968243	0.0106095703	0.0153040000	0	0	209321984	-0.0018004122	0.0030689281	0.0235204995
9	1311874903.5867300034	0.0777498409	0.0708279229	0.0777498409	0.0101671567	0.0154640000	0	0	209321984	-0.0002725244	0.0086538587	0.0282991100
10	1311874903.6227350235	0.0754688531	0.0712920159	0.0777498409	0.0096582177	0.0158930000	0	0	209321984	-0.0024702095	0.0087290406	0.0368569791
11	1311874903.6548099518	0.0724455118	0.0713968792	0.0777498409	0.0092490284	0.0151860000	0	0	209321984	-0.0052408627	0.0120547954	0.0447237194
12	1311874903.6867780685	0.0743471012	0.0716427310	0.0777498409	0.0088739107	0.0151410000	0	0	209321984	-0.0040079290	0.0150682814	0.0490548983
13	1311874903.7228040695	0.0774897262	0.0720924999	0.0777498409	0.0093684983	0.0150660000	0	0	209321984	-0.0001742391	0.0066319881	0.0592129230
14	1311874903.7548160553	0.0716228560	0.0720589539	0.0777498409	0.0093463213	0.0150910000	0	0	209321984	-0.0040478436	0.0128068253	0.0721558258
15	1311874903.7867510319	0.0693006814	0.0718750690	0.0777498409	0.0090940775	0.0150630000	0	0	209321984	-0.0050149998	0.0115359370	0.0846894160
16	1311874903.8228399754	0.0702824444	0.0717755300	0.0777498409	0.0090455514	0.0148930000	0	0	209321984	-0.0045838146	0.0109782731	0.0894408524
17	1311874903.8548169136	0.0768657923	0.0720749572	0.0777498409	0.0091548786	0.0148190000	0	0	209321984	0.0049043517	0.0121268183	0.1053232104
18	1311874903.8868288994	0.0755503625	0.0722680353	0.0777498409	0.0091685618	0.0147070000	0	0	209321984	0.0046672355	0.0209287964	0.1149280965
19	1311874903.9227540493	0.0758701339	0.0724576194	0.0777498409	0.0089829502	0.0147220000	0	0	209321984	0.0068380139	0.0189678669	0.1298187673
20	1311874903.9548261166	0.0788040012	0.0727749385	0.0788040012	0.0089023140	0.0147310000	0	0	209321984	0.0106134517	0.0131309750	0.1439880729
21	1311874903.9868090153	0.0765156895	0.0729530695	0.0788040012	0.0087699725	0.0146100000	0	0	209321984	0.0109484177	0.0142694814	0.1606377661
22	1311874904.0229310989	0.0796559975	0.0732577480	0.0796559975	0.0085724744	0.0143860000	0	0	209321984	0.0146108316	0.0150328875	0.1725231409
23	1311874904.0548150539	0.0781469345	0.0734703214	0.0796559975	0.0090661264	0.0145440000	0	0	209321984	0.0166290440	0.0269001145	0.1892469674
24	1311874904.0867750645	0.0770073310	0.0736176968	0.0796559975	0.0088741930	0.0148130000	0	0	209321984	0.0174725428	0.0272019356	0.2042467892
25	1311874904.1227569580	0.0762026906	0.0737210965	0.0796559975	0.0090951862	0.0144190000	0	0	209321984	0.0144636733	0.0319855325	0.2099578828
26	1311874904.1548049450	0.0710076168	0.0736167319	0.0796559975	0.0095206007	0.0144640000	0	0	209321984	0.0090507790	0.0246514827	0.2230197638
27	1311874904.1867148876	0.0667928234	0.0733639946	0.0796559975	0.0097800184	0.0141640000	0	0	209321984	0.0065765362	0.0329684131	0.2390784770
28	1311874904.2227890491	0.0692569017	0.0732173127	0.0796559975	0.0098127979	0.0142870000	0	0	209321984	0.0105800964	0.0379916243	0.2546206415
29	1311874904.2547900677	0.0688287392	0.0730659826	0.0796559975	0.0097243346	0.0139860000	0	0	209321984	0.0081187859	0.0407949202	0.2642925084
30	1311874904.2868020535	0.0696485043	0.0729520666	0.0796559975	0.0096874339	0.0134040000	0	0	209321984	0.0128944516	0.0393244363	0.2825066447
31	1311874904.3227920532	0.0807845443	0.0732047272	0.0807845443	0.0097302484	0.0134640000	0	0	209321984	0.0234724507	0.0396439061	0.2921369970
32	1311874904.3548059464	0.0788891390	0.0733823651	0.0807845443	0.0095828506	0.0133220000	0	0	209321984	0.0204520673	0.0395240895	0.3023416400
33	1311874904.3867399693	0.0793268085	0.0735624997	0.0807845443	0.0094799903	0.0134340000	0	0	209321984	0.0210342333	0.0387111455	0.3147419393
34	1311874904.4227750301	0.0760032237	0.0736342857	0.0807845443	0.0096423084	0.0134660000	0	0	209321984	0.0181574970	0.0302474778	0.3283599019
35	1311874904.4548358917	0.0770220309	0.0737310784	0.0807845443	0.0096274125	0.0140580000	0	0	209321984	0.0193117112	0.0379707403	0.3419359326
36	1311874904.4867930412	0.0855368301	0.0740590160	0.0855368301	0.0098111652	0.0137980000	0	0	209321984	0.0218196474	0.0390502810	0.3430781364
37	1311874904.5227720737	0.0836607739	0.0743185229	0.0855368301	0.0097252767	0.0136940000	0	0	209321984	0.0222481601	0.0417744257	0.3599646688
38	1311874904.5547480583	0.0828969106	0.0745442700	0.0855368301	0.0096105871	0.0138390000	0	0	209321984	0.0181549564	0.0397714414	0.3674157262
39	1311874904.5867650509	0.0833636001	0.0747704067	0.0855368301	0.0096060694	0.0135940000	0	0	209321984	0.0129759163	0.0461634025	0.3711310029
40	1311874904.6227819920	0.0851785839	0.0750306111	0.0855368301	0.0095472066	0.0137530000	0	0	209321984	0.0105036125	0.0497459248	0.3770242631
41	1311874904.6548109055	0.0865039602	0.0753104489	0.0865039602	0.0095088193	0.0135060000	0	0	209321984	0.0035724193	0.0527179204	0.3780524433
42	1311874904.6869969368	0.0961342826	0.0758062544	0.0961342826	0.0094823130	0.0136880000	0	0	209321984	0.0090642795	0.0533132553	0.3828843534
43	1311874904.7227120399	0.0980708674	0.0763240361	0.0980708674	0.0096889019	0.0135900000	0	0	209321984	0.0108160526	0.0455069505	0.3965530097
44	1311874904.7547540665	0.1006606296	0.0768771405	0.1006606296	0.0099192289	0.0134710000	0	0	209321984	0.0110509396	0.0347961038	0.4103080928
45	1311874904.7867639065	0.1129599288	0.0776789803	0.1129599288	0.0101906955	0.0135190000	0	0	209321984	0.0122357383	0.0271762833	0.4081077576
46	1311874904.8228230476	0.1074983403	0.0783272272	0.1129599288	0.0105148818	0.0137120000	0	0	209321984	0.0013160482	0.0382566378	0.4174434543
47	1311874904.8547410965	0.1076366156	0.0789508312	0.1129599288	0.0105930253	0.0138850000	0	0	209321984	-0.0101128966	0.0458073169	0.4143543243
48	1311874904.8867349625	0.1110373735	0.0796193009	0.1129599288	0.0105024807	0.0135350000	0	0	209321984	-0.0156094953	0.0481064357	0.4185746908
49	1311874904.9227750301	0.1046452895	0.0801300353	0.1129599288	0.0105432484	0.0135260000	0	0	209321984	-0.0229082555	0.0412086025	0.4381832480
50	1311874904.9547970295	0.1142097041	0.0808116287	0.1142097041	0.0106225903	0.0135700000	0	0	209321984	-0.0216850415	0.0340632237	0.4433425963
