SLAMBench Report run started:	2020-02-28 08:23:44

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2DESK-ORB-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_desk.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311868164.3735570908	0.0309509113	0.0309509113	0.0309509113	0.0000000000	0.0165050000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311868164.4077839851	0.0323552974	0.0316531043	0.0323552974	0.0147255966	0.0200140000	0	0	209321984	-0.0004309503	0.0007523092	-0.0021176047
3	1311868164.4370210171	0.0323843248	0.0318968445	0.0323843248	0.0111083038	0.0166740000	0	0	209321984	0.0007269438	0.0014621827	-0.0056076017
4	1311868164.4770390987	0.0305393711	0.0315574761	0.0323843248	0.0099901084	0.0165630000	0	0	209321984	0.0050373627	0.0042190868	-0.0087198950
5	1311868164.5076980591	0.0308884848	0.0314236779	0.0323843248	0.0092240355	0.0171100000	0	0	209321984	0.0066386545	0.0046515912	-0.0105066178
6	1311868164.5393950939	0.0305518266	0.0312783693	0.0323843248	0.0131150943	0.0165240000	0	0	209321984	0.0090744728	0.0035122123	-0.0136093264
7	1311868164.5730500221	0.0330199488	0.0315271664	0.0330199488	0.0128174560	0.0164290000	0	0	209321984	0.0092083840	0.0028108826	-0.0165850241
8	1311868164.6078920364	0.0343928076	0.0318853715	0.0343928076	0.0123323202	0.0175120000	0	0	209321984	0.0123835076	0.0015379837	-0.0194580965
9	1311868164.6775341034	0.0348418020	0.0322138638	0.0348418020	0.0119915307	0.0197270000	0	0	209321984	0.0183450915	0.0031970299	-0.0266858768
10	1311868164.7096149921	0.0352160186	0.0325140793	0.0352160186	0.0114075116	0.0188250000	0	0	209321984	0.0205673873	0.0044010817	-0.0308091883
11	1311868164.7376620770	0.0349552892	0.0327360075	0.0352160186	0.0111282652	0.0180370000	0	0	209321984	0.0264047738	0.0024993694	-0.0339163095
12	1311868164.7792251110	0.0367953815	0.0330742886	0.0367953815	0.0106271775	0.0175950000	0	0	209321984	0.0310918372	0.0013477509	-0.0373385586
13	1311868164.8094038963	0.0348427445	0.0332103237	0.0367953815	0.0103120778	0.0174850000	0	0	209321984	0.0383603461	0.0023058720	-0.0389972664
14	1311868164.8428800106	0.0330908820	0.0332017921	0.0367953815	0.0100980409	0.0182040000	0	0	209321984	0.0474495292	0.0017880324	-0.0419152528
15	1311868164.8746120930	0.0325097777	0.0331556578	0.0367953815	0.0098560580	0.0175480000	0	0	209321984	0.0552869551	0.0012245603	-0.0439980216
16	1311868164.9051680565	0.0336551853	0.0331868783	0.0367953815	0.0100101358	0.0170200000	0	0	209321984	0.0621882901	0.0007650856	-0.0444923863
17	1311868164.9417839050	0.0330882557	0.0331810770	0.0367953815	0.0097929491	0.0180200000	0	0	209321984	0.0704846159	0.0019512529	-0.0474427640
