SLAMBench Report run started:	2020-02-28 08:50:28

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2LARGE-ORB-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_large_no_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875813.7665040493	0.2034242600	0.2034242600	0.2034242600	0.0000000000	0.0132980000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875813.8064379692	0.2559351623	0.2296797112	0.2559351623	0.2768171430	0.0182230000	0	0	209321984	0.0120493826	0.0924292281	-0.0309953578
3	1311875813.8381500244	0.2921214998	0.2504936407	0.2921214998	0.2090023551	0.0147360000	0	0	209321984	0.0095955171	0.1296773702	-0.0401909612
4	1311875813.8738729954	0.3508530259	0.2755834870	0.3508530259	0.1981679765	0.0142160000	0	0	209321984	0.0881991312	0.1053025052	-0.0298342705
5	1311875813.9048490524	0.3964607418	0.2997589380	0.3964607418	0.1809458368	0.0140730000	0	0	209321984	0.1312000155	0.1129024103	-0.0385220572
6	1311875813.9383800030	0.3941051960	0.3154833143	0.3964607418	0.1619818081	0.0140170000	0	0	209321984	0.1175996810	0.1021826342	-0.0504848883
7	1311875813.9740710258	0.4129248559	0.3294035345	0.4129248559	0.1484955190	0.0136540000	0	0	209321984	0.1162857339	0.1086745411	-0.0574642196
8	1311875814.0045480728	0.4128142595	0.3398298752	0.4129248559	0.1375863647	0.0138880000	0	0	209321984	0.1036282405	0.0926270336	-0.0557493679
9	1311875814.0383810997	0.4597661495	0.3531561279	0.4597661495	0.1342235987	0.0135590000	0	0	209321984	0.1381084323	0.1017617956	-0.0527206734
10	1311875814.0741169453	0.4751821160	0.3653587267	0.4751821160	0.1277720879	0.0134900000	0	0	209321984	0.1271835417	0.1180236340	-0.0584522523
