SLAMBench Report run started:	2020-02-28 09:00:41

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2LARGE-ORB-RND-030.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_large_no_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875813.7695379257	0.2057762146	0.2057762146	0.2057762146	0.0000000000	0.0155630000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875813.8064379692	0.2278076410	0.2167919278	0.2278076410	0.0999473110	0.0196630000	0	0	209321984	-0.0057649277	0.0370714143	-0.0171955116
3	1311875813.9048418999	0.2810227871	0.2382022142	0.2810227871	0.1776615558	0.0150890000	0	0	209321984	-0.0693120211	0.1282236874	-0.0737706721
4	1311875813.9383690357	0.2740989327	0.2471763939	0.2810227871	0.1473582549	0.0148240000	0	0	209321984	-0.0680792034	0.1032752022	-0.0866002887
5	1311875814.0740830898	0.3673459589	0.2712103069	0.3673459589	0.1544818598	0.0139560000	0	0	209321984	-0.0864025503	0.1491407305	-0.0982338786
6	1311875814.1079208851	0.3822622001	0.2897189558	0.3822622001	0.1401097146	0.0137210000	0	0	209321984	-0.0956938788	0.1620577425	-0.1112929136
7	1311875814.1384758949	0.4172340035	0.3079353912	0.4172340035	0.1353418177	0.0129150000	0	0	209321984	-0.1102060899	0.2071672678	-0.1319656074
8	1311875814.2376759052	0.4873313308	0.3303598836	0.4873313308	0.1541064461	0.0133280000	0	0	209321984	-0.2333476245	0.2691701353	-0.1479195654
9	1311875814.2735879421	0.4863790870	0.3476953506	0.4873313308	0.1442806290	0.0136460000	0	0	209321984	-0.2357762158	0.2580013275	-0.1495164484
10	1311875814.3044629097	0.4813749492	0.3610633105	0.4873313308	0.1364857230	0.0145280000	0	0	209321984	-0.2671727240	0.2526766360	-0.1714757979
11	1311875814.3704440594	0.4950917661	0.3732477156	0.4950917661	0.1306402654	0.0136040000	0	0	209321984	-0.2786694467	0.2546753585	-0.1805729866
12	1311875814.4060740471	0.5218293667	0.3856295198	0.5218293667	0.1257115141	0.0135790000	0	0	209321984	-0.2978572249	0.2779240608	-0.1885959357
13	1311875814.4373250008	0.5285167098	0.3966208421	0.5285167098	0.1206075419	0.0138630000	0	0	209321984	-0.3114683330	0.2794533372	-0.1940745860
