SLAMBench Report run started:	2020-02-28 09:01:13

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2LARGELOOP-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_large_with_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875572.4061610699	0.0572556518	0.0572556518	0.0572556518	0.0000000000	0.0156080000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875572.4380629063	0.0580806546	0.0576681532	0.0580806546	0.0151784392	0.0258290000	0	0	209321984	-0.0088093393	-0.0108746793	0.0106819896
3	1311875572.4701418877	0.0708435625	0.0620599563	0.0708435625	0.0141384856	0.0317680000	0	0	209321984	-0.0135296071	-0.0079662623	0.0182320885
4	1311875572.5060660839	0.0209954157	0.0517938212	0.0708435625	0.0695550669	0.0140800000	0	0	209321984	0.0162524022	-0.0950675309	-0.0045367209
5	1311875572.5379829407	0.0302052051	0.0474760979	0.0708435625	0.0612453858	0.0125920000	0	0	209321984	0.0288484171	-0.1121568456	-0.0069622034
6	1311875572.5701830387	0.0106732836	0.0413422956	0.0708435625	0.0585185080	0.0126590000	0	0	209321984	0.0314667150	-0.0879092813	-0.0007897392
7	1311875572.6060600281	0.0119487206	0.0371432134	0.0708435625	0.0534465742	0.0127820000	0	0	209321984	0.0354742296	-0.0983675346	-0.0039175162
8	1311875572.6380209923	0.0643391311	0.0405427031	0.0708435625	0.0563572540	0.0122290000	0	0	209321984	0.0918425396	-0.1159884259	-0.0124803204
9	1311875572.6701710224	0.0922636315	0.0462894729	0.0922636315	0.0542481696	0.0119070000	0	0	209321984	0.1239167675	-0.1228344664	-0.0214961190
10	1311875572.7059559822	0.1672783047	0.0583883561	0.1672783047	0.0638582806	0.0120360000	0	0	209321984	0.1957303137	-0.1651665121	-0.0487398207
11	1311875572.7380409241	0.1632349938	0.0679198686	0.1672783047	0.0607342293	0.0118030000	0	0	209321984	0.2002372891	-0.1624308527	-0.0527424887
12	1311875572.7699921131	0.2303233892	0.0814534953	0.2303233892	0.0668570277	0.0113530000	0	0	209321984	0.2516324222	-0.2300762087	-0.0634559095
13	1311875572.8061490059	0.2421989143	0.0938185276	0.2421989143	0.0647779363	0.0115890000	0	0	209321984	0.2769871056	-0.2338452935	-0.0634485334
14	1311875572.8380720615	0.1760779321	0.0996941993	0.2421989143	0.0675965979	0.0111640000	0	0	209321984	0.2398189753	-0.1908517331	-0.0225420650
15	1311875572.8700969219	0.1541572362	0.1033250685	0.2421989143	0.0915369729	0.0110060000	0	0	209321984	0.1896561533	-0.0153014120	0.0199613608
16	1311875572.9059638977	0.2458624393	0.1122336541	0.2458624393	0.1168250214	0.0111050000	0	0	209321984	0.3399240375	-0.2131240368	-0.0164378658
17	1311875572.9381389618	0.2311318219	0.1192276640	0.2458624393	0.1139196449	0.0117130000	0	0	209321984	0.3407349885	-0.1975733042	0.0111166835
18	1311875572.9700710773	0.2919074595	0.1288209860	0.2919074595	0.1135368735	0.0114090000	0	0	209321984	0.4257954955	-0.1701045334	0.0044756085
19	1311875573.0060079098	0.3083135784	0.1382679645	0.3083135784	0.1108419018	0.0114990000	0	0	209321984	0.4499710500	-0.1774465740	0.0349414498
20	1311875573.0380890369	0.3177026212	0.1472396974	0.3177026212	0.1095849231	0.0108400000	0	0	209321984	0.4465906918	-0.2229467928	0.0774617344
21	1311875573.0701398849	0.3591337502	0.1573298903	0.3591337502	0.1075747177	0.0117630000	0	0	209321984	0.4805726707	-0.2298924029	0.1217138767
22	1311875573.1061151028	0.3836811483	0.1676185839	0.3836811483	0.1056494815	0.0119980000	0	0	209321984	0.4934170842	-0.2609537840	0.1522960663
23	1311875573.1379990578	0.4563925862	0.1801739753	0.4563925862	0.1073082190	0.0117420000	0	0	209321984	0.6086999178	-0.2386237085	0.1337381303
24	1311875573.1700880527	0.3373384476	0.1867224950	0.4563925862	0.1124990499	0.0119490000	0	0	209321984	0.4831197262	-0.2075473517	0.1322966218
25	1311875573.2061450481	0.3483449817	0.1931873944	0.4563925862	0.1101733886	0.0117230000	0	0	209321984	0.4983159900	-0.2193887532	0.1436471939
26	1311875573.2380769253	0.3351172507	0.1986462351	0.4563925862	0.1096085578	0.0113910000	0	0	209321984	0.4566502571	-0.2426570356	0.1720440835
27	1311875573.2699520588	0.3376812935	0.2037956817	0.4563925862	0.1077380071	0.0116500000	0	0	209321984	0.4787774086	-0.2252881527	0.1659402847
28	1311875573.3060309887	0.3542215228	0.2091680331	0.4563925862	0.1059971053	0.0118920000	0	0	209321984	0.5138915181	-0.2191177309	0.1660646945
29	1311875573.3379631042	0.3403368294	0.2136910951	0.4563925862	0.1049342344	0.0115310000	0	0	209321984	0.4743683338	-0.2179747075	0.1857562065
30	1311875573.3701720238	0.4014509022	0.2199497553	0.4563925862	0.1048149015	0.0115420000	0	0	209321984	0.5714314580	-0.2227879763	0.1923416853
31	1311875573.4061849117	0.4072502851	0.2259917079	0.4563925862	0.1031975402	0.0116570000	0	0	209321984	0.5773283243	-0.2189496458	0.2008131146
32	1311875573.4381499290	0.4142269194	0.2318740583	0.4563925862	0.1015469816	0.0115020000	0	0	209321984	0.5923919678	-0.2225470841	0.2020823359
33	1311875573.4701130390	0.4078823328	0.2372076423	0.4563925862	0.1006635061	0.0116590000	0	0	209321984	0.5707669854	-0.2231321931	0.2146833539
34	1311875573.5061140060	0.4011238515	0.2420287073	0.4563925862	0.0991517161	0.0117300000	0	0	209321984	0.5791974068	-0.2316073775	0.2037808746
35	1311875573.5381228924	0.4259426892	0.2472833925	0.4563925862	0.0979676287	0.0136230000	0	0	209321984	0.6128753424	-0.2176281810	0.2077258229
36	1311875573.5701200962	0.4274208844	0.2522872117	0.4563925862	0.0966752165	0.0116930000	0	0	209321984	0.6083904505	-0.2103945315	0.2124631703
37	1311875573.6060669422	0.4298346639	0.2570857915	0.4563925862	0.0955716369	0.0116110000	0	0	209321984	0.6111543775	-0.1890022159	0.2050583363
38	1311875573.6381139755	0.4385545850	0.2618612861	0.4563925862	0.0942983847	0.0115200000	0	0	209321984	0.6211057901	-0.1964521408	0.2120961696
39	1311875573.6701250076	0.4476570487	0.2666252800	0.4563925862	0.0930998603	0.0113620000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
40	1311875573.7061080933	0.4491573870	0.2711885827	0.4563925862	0.0919174163	0.0112320000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
41	1311875573.7379920483	0.4508270919	0.2755700097	0.4563925862	0.0908183468	0.0134590000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
42	1311875573.7701449394	0.4529460073	0.2797932478	0.4563925862	0.0897341979	0.0135620000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
43	1311875573.8061270714	0.4559946954	0.2838909558	0.4563925862	0.0887161981	0.0135400000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
44	1311875573.8380179405	0.4594371617	0.2878806423	0.4594371617	0.0877757953	0.0136040000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
45	1311875573.8700959682	0.4633074701	0.2917790163	0.4633074701	0.0868560769	0.0140430000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
46	1311875573.9060959816	0.4684494734	0.2956196784	0.4684494734	0.0859364638	0.0134390000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
47	1311875573.9381060600	0.4743621647	0.2994227100	0.4743621647	0.0850613585	0.0136980000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
48	1311875573.9700551033	0.4799319208	0.3031833186	0.4799319208	0.0841727170	0.0136730000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
49	1311875574.0060229301	0.4866920114	0.3069283939	0.4866920114	0.0833177564	0.0140260000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
50	1311875574.0380339622	0.4930395782	0.3106506176	0.4930395782	0.0824817438	0.0138730000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
51	1311875574.0701000690	0.4984818697	0.3143335834	0.4984818697	0.0816622581	0.0141020000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
52	1311875574.1060910225	0.5047926307	0.3179962573	0.5047926307	0.0808627307	0.0142360000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
53	1311875574.1379868984	0.5104457736	0.3216273803	0.5104457736	0.0800856200	0.0139350000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
54	1311875574.1700620651	0.5152451396	0.3252128944	0.5152451396	0.0793295841	0.0139320000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
55	1311875574.2060670853	0.5209749937	0.3287722052	0.5209749937	0.0785923202	0.0136370000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
56	1311875574.2381110191	0.5260618329	0.3322952343	0.5260618329	0.0778748890	0.0135740000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
57	1311875574.2699429989	0.5310014486	0.3357813083	0.5310014486	0.0771768257	0.0138210000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
58	1311875574.3060789108	0.5367928743	0.3392470249	0.5367928743	0.0765084275	0.0140950000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
59	1311875574.3380379677	0.5419871211	0.3426832977	0.5419871211	0.0758483278	0.0142290000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
60	1311875574.3700311184	0.5468661189	0.3460863447	0.5468661189	0.0752112900	0.0140390000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
61	1311875574.4060928822	0.5527785420	0.3494747414	0.5527785420	0.0746019558	0.0141840000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
62	1311875574.4379899502	0.5578435063	0.3528355280	0.5578435063	0.0739942125	0.0140490000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
63	1311875574.4701359272	0.5613381863	0.3561450940	0.5613381863	0.0733967920	0.0142310000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
64	1311875574.5060660839	0.5655066371	0.3594163681	0.5655066371	0.0728172315	0.0140440000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
65	1311875574.5381178856	0.5689942241	0.3626406428	0.5689942241	0.0722699116	0.0139980000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
66	1311875574.5699601173	0.5714915395	0.3658050503	0.5714915395	0.0717276727	0.0140120000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
67	1311875574.6059739590	0.5737084746	0.3689080865	0.5737084746	0.0711845612	0.0141810000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
68	1311875574.6380989552	0.5755030513	0.3719462477	0.5755030513	0.0706576499	0.0143230000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
69	1311875574.6701030731	0.5770692229	0.3749190445	0.5770692229	0.0701394682	0.0141580000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
70	1311875574.7060959339	0.5786719322	0.3778298000	0.5786719322	0.0696555948	0.0144200000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
71	1311875574.7380030155	0.5797678232	0.3806739975	0.5797678232	0.0691694444	0.0142010000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
72	1311875574.7700099945	0.5806602836	0.3834515848	0.5806602836	0.0686948668	0.0143170000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
73	1311875574.8060100079	0.5822318196	0.3861746017	0.5822318196	0.0682559943	0.0142730000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
74	1311875574.8380548954	0.5836866498	0.3888436835	0.5836866498	0.0678082498	0.0142710000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
75	1311875574.8701000214	0.5850285888	0.3914594822	0.5850285888	0.0673549870	0.0144950000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
76	1311875574.9060950279	0.5869895220	0.3940322459	0.5869895220	0.0669117269	0.0143040000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
77	1311875574.9381530285	0.5888756514	0.3965626797	0.5888756514	0.0664727333	0.0145270000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
78	1311875574.9700939655	0.5909612775	0.3990549694	0.5909612775	0.0660418227	0.0143870000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
79	1311875575.0060579777	0.5938114524	0.4015202414	0.5938114524	0.0656185771	0.0146460000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
80	1311875575.0380210876	0.5968332887	0.4039616545	0.5968332887	0.0652085556	0.0143460000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
81	1311875575.0699400902	0.5995496511	0.4063763211	0.5995496511	0.0648007833	0.0145840000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
82	1311875575.1060628891	0.6035434604	0.4087807984	0.6035434604	0.0644035341	0.0143570000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
83	1311875575.1381549835	0.6068877578	0.4111676292	0.6068877578	0.0640241984	0.0145430000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
84	1311875575.1699769497	0.6098223925	0.4135325669	0.6098223925	0.0636386784	0.0145500000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
85	1311875575.2059080601	0.6129851341	0.4158790677	0.6129851341	0.0632590611	0.0143340000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
86	1311875575.2381129265	0.6156768203	0.4182022974	0.6156768203	0.0628880159	0.0144720000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
87	1311875575.2700359821	0.6178670526	0.4204972946	0.6178670526	0.0625238411	0.0144150000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
88	1311875575.3060541153	0.6215110421	0.4227815417	0.6215110421	0.0621752646	0.0145190000	0	0	209321984	0.6407175064	-0.1928619444	0.2066089213
