SLAMBench Report run started:	2020-02-28 09:18:29

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2LARGELOOP-ORB-RND-030.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_large_with_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875572.4380629063	0.0628777966	0.0628777966	0.0628777966	0.0000000000	0.0152890000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875572.4701418877	0.0673735887	0.0651256926	0.0673735887	0.0216734577	0.0181690000	0	0	209321984	0.0078400923	-0.0003753433	-0.0061382549
3	1311875572.5379829407	0.0721319988	0.0674611280	0.0721319988	0.0186205037	0.0141470000	0	0	209321984	0.0224676244	-0.0109177865	-0.0112617556
4	1311875572.6206340790	0.0807626024	0.0707864966	0.0807626024	0.0227687073	0.0134330000	0	0	209321984	0.0443050489	-0.0205986388	-0.0169683881
5	1311875572.7154519558	0.1324216574	0.0831135288	0.1324216574	0.0777748236	0.0122980000	0	0	209321984	0.1396609098	-0.0425761268	-0.0774529874
6	1311875572.7518780231	0.1437642276	0.0932219786	0.1437642276	0.0719041576	0.0150940000	0	0	209321984	0.1465822160	-0.0299959369	-0.0924466178
7	1311875572.8499619961	0.1119830310	0.0959021289	0.1437642276	0.0727508492	0.0109050000	0	0	209321984	0.1570321620	-0.0495960154	-0.0828498453
8	1311875572.9059638977	0.0994037762	0.0963398349	0.1437642276	0.0709361114	0.0128270000	0	0	209321984	0.1570321620	-0.0495960154	-0.0828498453
9	1311875572.9381389618	0.1866114885	0.1063700186	0.1866114885	0.0697799996	0.0259160000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
10	1311875572.9800820351	0.2247480601	0.1182078227	0.2247480601	0.0665222107	0.0145860000	0	0	209321984	-0.0066726436	0.0226358753	0.0035685739
