SLAMBench Report run started:	2020-02-28 09:23:27

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2P360-ORB-RND-030.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_360.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311876800.3982100487	0.0001732338	0.0001732338	0.0001732338	0.0000000000	0.0171150000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311876800.4301719666	0.0011617735	0.0006675036	0.0011617735	0.0031195153	0.0190750000	0	0	209321984	-0.0005823518	0.0007712313	0.0009270508
3	1311876800.4676361084	0.0019228498	0.0010859524	0.0019228498	0.0039157290	0.0150830000	0	0	209321984	0.0010891296	-0.0003786860	-0.0015388347
4	1311876800.4991860390	0.0023966820	0.0014136348	0.0023966820	0.0033316209	0.0144000000	0	0	209321984	0.0004590871	-0.0009202730	-0.0021648961
5	1311876800.5505878925	0.0011318751	0.0013572828	0.0023966820	0.0030038878	0.0147530000	0	0	209321984	0.0001928440	-0.0006058083	-0.0009365053
6	1311876800.5845990181	0.0014924605	0.0013798125	0.0023966820	0.0029639974	0.0146690000	0	0	209321984	0.0008183073	-0.0005473521	-0.0012603943
7	1311876800.6690859795	0.0006103712	0.0012698923	0.0023966820	0.0030194225	0.0148480000	0	0	209321984	-0.0002161432	0.0002891224	-0.0004922102
8	1311876800.7309160233	0.0001932813	0.0011353159	0.0023966820	0.0028136049	0.0145760000	0	0	209321984	-0.0001671439	0.0000893145	0.0000379319
9	1311876800.8194429874	0.0012361266	0.0011465171	0.0023966820	0.0027932910	0.0148680000	0	0	209321984	0.0008155167	-0.0006347394	-0.0007674459
10	1311876800.8629360199	0.0003993952	0.0010718049	0.0023966820	0.0031755447	0.0146800000	0	0	209321984	-0.0005385330	0.0005696175	0.0002287548
11	1311876800.8946840763	0.0012331322	0.0010864710	0.0023966820	0.0030896432	0.0147160000	0	0	209321984	0.0005245371	-0.0000957179	-0.0007462657
12	1311876801.0006399155	0.0008112653	0.0010635372	0.0023966820	0.0030945210	0.0147710000	0	0	209321984	-0.0009109203	0.0000879334	0.0005005010
13	1311876801.0501530170	0.0024160238	0.0011675746	0.0024160238	0.0031217804	0.0145860000	0	0	209321984	0.0005883413	-0.0006857960	-0.0015260468
14	1311876801.0947220325	0.0010708330	0.0011606645	0.0024160238	0.0030867947	0.0150060000	0	0	209321984	-0.0001290089	-0.0002124476	-0.0005264994
15	1311876801.1318209171	0.0006096858	0.0011239326	0.0024160238	0.0030924911	0.0148170000	0	0	209321984	-0.0005494496	0.0007926406	0.0008717722
16	1311876801.1824169159	0.0009827949	0.0011151115	0.0024160238	0.0030633504	0.0146030000	0	0	209321984	-0.0002187601	-0.0001740878	-0.0004750417
17	1311876801.2267689705	0.0004195434	0.0010741957	0.0024160238	0.0030509463	0.0146150000	0	0	209321984	-0.0005899268	0.0003526738	0.0007039028
18	1311876801.2994260788	0.0008616425	0.0010623872	0.0024160238	0.0030818591	0.0145250000	0	0	209321984	-0.0008513907	0.0009121397	0.0007751739
19	1311876801.3874080181	0.0009002918	0.0010538559	0.0024160238	0.0031309746	0.0149190000	0	0	209321984	-0.0009055255	-0.0002783539	0.0004061522
20	1311876801.5875809193	0.0007158670	0.0010369564	0.0024160238	0.0030536208	0.0150720000	0	0	209321984	-0.0012076552	0.0000743892	0.0003803926
21	1311876801.6481950283	0.0023858510	0.0011011895	0.0024160238	0.0030672802	0.0145330000	0	0	209321984	0.0001642593	-0.0003511027	-0.0017251740
