SLAMBench Report run started:	2020-02-28 09:24:43

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2PSLAM-ORB-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_slam.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311878194.3592360020	0.0001000166	0.0001000166	0.0001000166	0.0000000000	0.0184200000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311878194.4276299477	0.0002693241	0.0001846703	0.0002693241	0.0014442413	0.0205760000	0	0	209321984	-0.0002462015	0.0001067771	-0.0000237219
3	1311878194.4596729279	0.0005095750	0.0002929719	0.0005095750	0.0016058071	0.0181090000	0	0	209321984	-0.0000548637	-0.0003869672	-0.0003601108
4	1311878194.4987859726	0.0005994524	0.0003695920	0.0005994524	0.0018046056	0.0181260000	0	0	209321984	-0.0000212801	0.0001831013	-0.0006529053
5	1311878194.5279328823	0.0003975390	0.0003751814	0.0005994524	0.0020743075	0.0180180000	0	0	209321984	-0.0002552222	0.0003061189	0.0001446933
6	1311878194.5588839054	0.0002364489	0.0003520593	0.0005994524	0.0022695625	0.0181300000	0	0	209321984	0.0001415780	-0.0000078606	-0.0001892881
7	1311878194.5978949070	0.0009522543	0.0004378015	0.0009522543	0.0020816448	0.0180830000	0	0	209321984	-0.0001247216	-0.0005165557	-0.0008577440
8	1311878194.6269490719	0.0002140456	0.0004098320	0.0009522543	0.0020270090	0.0187340000	0	0	209321984	-0.0000716602	-0.0002468138	-0.0000002824
9	1311878194.6606290340	0.0003634092	0.0004046739	0.0009522543	0.0021108627	0.0171910000	0	0	209321984	-0.0000807314	-0.0001601686	-0.0001129558
10	1311878194.6996729374	0.0011792008	0.0004821266	0.0011792008	0.0022160266	0.0175010000	0	0	209321984	-0.0000351615	0.0000435578	-0.0010538576
11	1311878194.7276589870	0.0005964992	0.0004925241	0.0011792008	0.0024662450	0.0169440000	0	0	209321984	-0.0002535511	0.0002065705	-0.0001727405
12	1311878194.7590649128	0.0011887443	0.0005505424	0.0011887443	0.0024178150	0.0170260000	0	0	209321984	-0.0004303899	0.0004689486	-0.0007017565
13	1311878194.7957880497	0.0011404074	0.0005959167	0.0011887443	0.0026687785	0.0173710000	0	0	209321984	0.0001282987	-0.0001964993	-0.0014152896
14	1311878194.8277609348	0.0015410513	0.0006634263	0.0015410513	0.0032136450	0.0170540000	0	0	209321984	0.0004767407	0.0013038204	-0.0004230037
15	1311878194.8601560593	0.0010348954	0.0006881909	0.0015410513	0.0031342892	0.0169410000	0	0	209321984	0.0002971939	0.0006264384	-0.0005669862
16	1311878194.8949790001	0.0018113721	0.0007583897	0.0018113721	0.0034055552	0.0168590000	0	0	209321984	0.0006248311	0.0015802155	-0.0007258074
17	1311878194.9300220013	0.0024954593	0.0008605703	0.0024954593	0.0033661440	0.0170800000	0	0	209321984	0.0004855646	0.0021882784	-0.0007305398
18	1311878194.9590990543	0.0024897484	0.0009510802	0.0024954593	0.0040559904	0.0168870000	0	0	209321984	0.0004453534	0.0016992458	0.0005970879
19	1311878194.9965341091	0.0034118677	0.0010805953	0.0034118677	0.0045046550	0.0165330000	0	0	209321984	0.0001588704	0.0025467156	-0.0000522379
20	1311878195.0275340080	0.0025036444	0.0011517478	0.0034118677	0.0046936633	0.0164650000	0	0	209321984	0.0006471346	0.0000759394	0.0005734959
21	1311878195.0617780685	0.0036803274	0.0012721563	0.0036803274	0.0057663350	0.0163220000	0	0	209321984	0.0000402176	0.0022655188	0.0000562577
22	1311878195.0948240757	0.0036508776	0.0013802800	0.0036803274	0.0062780470	0.0165890000	0	0	209321984	-0.0002354162	0.0005427561	-0.0009512536
23	1311878195.1592309475	0.0045447974	0.0015178677	0.0045447974	0.0063560853	0.0166100000	0	0	209321984	0.0004210036	0.0014443494	-0.0004069826
24	1311878195.1966290474	0.0062383674	0.0017145552	0.0062383674	0.0067277825	0.0164770000	0	0	209321984	-0.0002945959	0.0016430145	0.0007296460
25	1311878195.2271540165	0.0068139480	0.0019185309	0.0068139480	0.0066330354	0.0173180000	0	0	209321984	0.0003253037	0.0005458384	0.0024969853
26	1311878195.2596199512	0.0078206854	0.0021455369	0.0078206854	0.0074884198	0.0189390000	0	0	209321984	-0.0007880260	0.0009403487	0.0014758841
27	1311878195.2945530415	0.0087372139	0.0023896731	0.0087372139	0.0078031187	0.0174920000	0	0	209321984	-0.0006414080	0.0014019577	0.0016675255
28	1311878195.3268439770	0.0109642856	0.0026959092	0.0109642856	0.0080344188	0.0173610000	0	0	209321984	0.0002544714	-0.0005376266	0.0058982768
29	1311878195.3591609001	0.0103401421	0.0029595035	0.0109642856	0.0082189915	0.0171250000	0	0	209321984	-0.0001009585	0.0010737409	0.0038882443
30	1311878195.3948669434	0.0108610652	0.0032228888	0.0109642856	0.0084103656	0.0172070000	0	0	209321984	-0.0003445026	0.0000577918	0.0035692465
31	1311878195.4280519485	0.0128686959	0.0035340439	0.0128686959	0.0084045597	0.0169290000	0	0	209321984	0.0001310968	-0.0006406072	0.0061061578
32	1311878195.4598879814	0.0127787357	0.0038229405	0.0128686959	0.0083276177	0.0171390000	0	0	209321984	-0.0014054540	0.0003397853	0.0033522043
33	1311878195.4964590073	0.0114075029	0.0040527758	0.0128686959	0.0083708592	0.0170790000	0	0	209321984	0.0005077412	-0.0012032730	0.0032081858
34	1311878195.5296270847	0.0142491907	0.0043526703	0.0142491907	0.0082708589	0.0169680000	0	0	209321984	-0.0010692067	-0.0011738121	0.0049271123
35	1311878195.5677700043	0.0147889340	0.0046508493	0.0147889340	0.0082174243	0.0183210000	0	0	209321984	-0.0017959134	-0.0014967194	0.0031187013
36	1311878195.5949189663	0.0143533712	0.0049203638	0.0147889340	0.0081520773	0.0179100000	0	0	209321984	-0.0002768172	-0.0013083773	0.0037884852
37	1311878195.6267230511	0.0161463749	0.0052237695	0.0161463749	0.0081021180	0.0170880000	0	0	209321984	-0.0011107933	-0.0011406312	0.0047605573
38	1311878195.6643760204	0.0163692627	0.0055170719	0.0163692627	0.0088317406	0.0169250000	0	0	209321984	-0.0007701095	-0.0008941946	0.0049154414
39	1311878195.6947460175	0.0170244928	0.0058121340	0.0170244928	0.0087264213	0.0178670000	0	0	209321984	-0.0014958284	-0.0032595270	0.0036922158
40	1311878195.7274310589	0.0180519540	0.0061181295	0.0180519540	0.0086581685	0.0175870000	0	0	209321984	-0.0002579503	-0.0017262151	0.0068565942
41	1311878195.7631731033	0.0200031903	0.0064567895	0.0200031903	0.0086074650	0.0172110000	0	0	209321984	0.0006778680	-0.0021480096	0.0097460290
42	1311878195.7960960865	0.0213976800	0.0068125250	0.0213976800	0.0085998837	0.0169280000	0	0	209321984	-0.0001227483	-0.0015357890	0.0102043133
43	1311878195.8287820816	0.0202863831	0.0071258706	0.0213976800	0.0085803769	0.0167070000	0	0	209321984	0.0003711253	-0.0024837388	0.0081071844
44	1311878195.8636939526	0.0229687821	0.0074859367	0.0229687821	0.0085643616	0.0166160000	0	0	209321984	0.0010510823	-0.0023684450	0.0116439629
45	1311878195.8946650028	0.0217985138	0.0078039940	0.0229687821	0.0084887370	0.0167620000	0	0	209321984	0.0007224005	-0.0022513187	0.0091869384
46	1311878195.9264121056	0.0173198972	0.0080108615	0.0229687821	0.0085688343	0.0167590000	0	0	209321984	0.0095326556	0.0011685083	0.0098568713
47	1311878195.9624540806	0.0191480368	0.0082478226	0.0229687821	0.0085392729	0.0173800000	0	0	209321984	0.0051051956	-0.0033535173	0.0087150019
48	1311878195.9946489334	0.0182549842	0.0084563052	0.0229687821	0.0086573336	0.0174740000	0	0	209321984	0.0101630818	-0.0004525532	0.0109142754
49	1311878196.0263979435	0.0165886991	0.0086222724	0.0229687821	0.0085757751	0.0168720000	0	0	209321984	0.0121835694	0.0029331313	0.0097473739
50	1311878196.0643899441	0.0203373954	0.0088565748	0.0229687821	0.0085468639	0.0169150000	0	0	209321984	0.0137301292	0.0031057585	0.0140167475
51	1311878196.0995969772	0.0208469070	0.0090916794	0.0229687821	0.0084914997	0.0167070000	0	0	209321984	0.0147368154	0.0033590323	0.0146686733
52	1311878196.1278200150	0.0219227243	0.0093384303	0.0229687821	0.0084812136	0.0175210000	0	0	209321984	0.0158822183	0.0064254170	0.0147330463
53	1311878196.1626870632	0.0221655164	0.0095804508	0.0229687821	0.0085622419	0.0172820000	0	0	209321984	0.0212264657	0.0071541015	0.0149777178
54	1311878196.1944739819	0.0211896300	0.0097954356	0.0229687821	0.0087106162	0.0168080000	0	0	209321984	0.0224021431	0.0086377468	0.0133617725
55	1311878196.2265019417	0.0242808685	0.0100588071	0.0242808685	0.0086641853	0.0165470000	0	0	209321984	0.0239966176	0.0076496396	0.0169452392
56	1311878196.2644560337	0.0213385802	0.0102602316	0.0242808685	0.0087531813	0.0166350000	0	0	209321984	0.0256950818	0.0047364286	0.0142076388
57	1311878196.2952659130	0.0253915116	0.0105256926	0.0253915116	0.0087653064	0.0164730000	0	0	209321984	0.0274824277	0.0077946112	0.0174778607
58	1311878196.3651909828	0.0268399194	0.0108069724	0.0268399194	0.0091650829	0.0166990000	0	0	209321984	0.0318244733	0.0088324221	0.0184859410
59	1311878196.3949770927	0.0290871095	0.0111168052	0.0290871095	0.0090918765	0.0176940000	0	0	209321984	0.0353762582	0.0106384549	0.0186799429
60	1311878196.4263861179	0.0283970702	0.0114048097	0.0290871095	0.0090483037	0.0172200000	0	0	209321984	0.0349037573	0.0040085358	0.0203088261
61	1311878196.4637310505	0.0303536952	0.0117154471	0.0303536952	0.0091316965	0.0170170000	0	0	209321984	0.0380501337	0.0081846248	0.0212500542
62	1311878196.5260930061	0.0312128700	0.0120299217	0.0312128700	0.0091489610	0.0167200000	0	0	209321984	0.0454113372	0.0105472868	0.0211710595
63	1311878196.5638689995	0.0337240212	0.0123742725	0.0337240212	0.0092404684	0.0166580000	0	0	209321984	0.0473829359	0.0119154844	0.0257285759
64	1311878196.5947589874	0.0322643705	0.0126850553	0.0337240212	0.0091687961	0.0163350000	0	0	209321984	0.0480199754	0.0084900605	0.0272232741
65	1311878196.6269729137	0.0337948278	0.0130098210	0.0337948278	0.0093178178	0.0163160000	0	0	209321984	0.0512715206	0.0105552729	0.0292878803
66	1311878196.6638650894	0.0358103029	0.0133552828	0.0358103029	0.0093230179	0.0162960000	0	0	209321984	0.0564244427	0.0091335913	0.0317508280
67	1311878196.6946361065	0.0396699868	0.0137480396	0.0396699868	0.0098169258	0.0160590000	0	0	209321984	0.0574342906	0.0052917367	0.0399380960
68	1311878196.7329039574	0.0423458368	0.0141685955	0.0423458368	0.0105713870	0.0160820000	0	0	209321984	0.0578290299	0.0083018858	0.0442963839
69	1311878196.7632660866	0.0408968814	0.0145559619	0.0423458368	0.0105310506	0.0161440000	0	0	209321984	0.0637255460	0.0047487738	0.0429801941
70	1311878196.7942879200	0.0454547629	0.0149973734	0.0454547629	0.0106837448	0.0159970000	0	0	209321984	0.0686667860	0.0121234097	0.0462900996
71	1311878196.8305060863	0.0468783826	0.0154464017	0.0468783826	0.0107235243	0.0157780000	0	0	209321984	0.0692588240	0.0112869889	0.0516630113
72	1311878196.8631179333	0.0528505705	0.0159659040	0.0528505705	0.0106853625	0.0170610000	0	0	209321984	0.0763363391	0.0172611289	0.0557668023
73	1311878196.8949849606	0.0478907600	0.0164032308	0.0528505705	0.0106278211	0.0165870000	0	0	209321984	0.0761082768	0.0089168465	0.0562727675
74	1311878196.9313011169	0.0501716621	0.0168595609	0.0528505705	0.0106423272	0.0161860000	0	0	209321984	0.0762944221	0.0071629914	0.0631172433
75	1311878196.9623150826	0.0496970266	0.0172973938	0.0528505705	0.0105769863	0.0160440000	0	0	209321984	0.0787906796	0.0055856933	0.0641376972
76	1311878196.9946219921	0.0515490510	0.0177480735	0.0528505705	0.0105212732	0.0156210000	0	0	209321984	0.0817171633	0.0060609728	0.0675482824
77	1311878197.0301799774	0.0532272942	0.0182088426	0.0532272942	0.0104608967	0.0154870000	0	0	209321984	0.0826055408	0.0063452567	0.0721912533
78	1311878197.0620729923	0.0522985123	0.0186458897	0.0532272942	0.0104080969	0.0152830000	0	0	209321984	0.0857979208	0.0048747389	0.0729507804
79	1311878197.0951509476	0.0533147603	0.0190847361	0.0533147603	0.0103523132	0.0154240000	0	0	209321984	0.0864878446	0.0089401379	0.0763289779
80	1311878197.1313500404	0.0545557886	0.0195281243	0.0545557886	0.0103661771	0.0161640000	0	0	209321984	0.0873186216	0.0045986311	0.0816951022
81	1311878197.1624450684	0.0575062782	0.0199969904	0.0575062782	0.0103488472	0.0162980000	0	0	209321984	0.0942275450	0.0050611454	0.0844796747
82	1311878197.1964130402	0.0587393194	0.0204694578	0.0587393194	0.0102946877	0.0157550000	0	0	209321984	0.0954650342	0.0039133742	0.0884610936
83	1311878197.2313129902	0.0591867007	0.0209359306	0.0591867007	0.0105124020	0.0154300000	0	0	209321984	0.0969302803	0.0055561368	0.0908826813
84	1311878197.2621328831	0.0644216835	0.0214536182	0.0644216835	0.0104639561	0.0154480000	0	0	209321984	0.1012597680	0.0077638617	0.0972980857
85	1311878197.2939250469	0.0648340359	0.0219639760	0.0648340359	0.0104712634	0.0150750000	0	0	209321984	0.1018416584	0.0092392070	0.1003835425
86	1311878197.3305890560	0.0637610704	0.0224499887	0.0648340359	0.0105087721	0.0148690000	0	0	209321984	0.1057441980	0.0031987694	0.1027296931
87	1311878197.3633050919	0.0666540191	0.0229580810	0.0666540191	0.0106512091	0.0155340000	0	0	209321984	0.0987558886	0.0084324591	0.1097760424
88	1311878197.3941049576	0.0676277578	0.0234656910	0.0676277578	0.0107383991	0.0155730000	0	0	209321984	0.1062467098	0.0021744322	0.1133430228
89	1311878197.4308009148	0.0660458133	0.0239441193	0.0676277578	0.0107083808	0.0148240000	0	0	209321984	0.1105022505	0.0057364777	0.1135996655
90	1311878197.4626278877	0.0661332533	0.0244128875	0.0676277578	0.0106491276	0.0148410000	0	0	209321984	0.1138676852	0.0026798651	0.1163562611
