SLAMBench Report run started:	2020-02-28 09:33:50

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2PSLAM2-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_slam2.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311877812.9895739555	0.0003000895	0.0003000895	0.0003000895	0.0000000000	0.0201660000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311877813.0255270004	0.0018842799	0.0010921847	0.0018842799	0.0023521078	0.0204480000	0	0	209321984	-0.0004946984	-0.0012341721	-0.0011753157
3	1311877813.0575559139	0.0010246957	0.0010696884	0.0018842799	0.0027768857	0.0168500000	0	0	209321984	-0.0004920672	-0.0000077800	0.0009765693
4	1311877813.0894050598	0.0021149337	0.0013309997	0.0021149337	0.0031974603	0.0358790000	0	0	209321984	-0.0003961585	-0.0014242422	-0.0011862245
5	1311877813.1255090237	0.0007562435	0.0012160485	0.0021149337	0.0070749635	0.0160660000	0	0	209321984	-0.0007151744	0.0000208783	0.0000244464
6	1311877813.1575870514	0.0011452102	0.0012042421	0.0021149337	0.0080628772	0.0161470000	0	0	209321984	-0.0003036965	-0.0007704266	-0.0006116651
7	1311877813.1895079613	0.0013415428	0.0012238565	0.0021149337	0.0084939584	0.0161890000	0	0	209321984	-0.0008357720	-0.0000912436	0.0006737218
8	1311877813.2256150246	0.0007810707	0.0011685083	0.0021149337	0.0078723181	0.0154790000	0	0	209321984	-0.0002827102	0.0001079798	0.0003156237
9	1311877813.2575759888	0.0011402887	0.0011653727	0.0021149337	0.0083317064	0.0155140000	0	0	209321984	0.0003945569	-0.0006579056	-0.0000121140
10	1311877813.2897319794	0.0012909881	0.0011779343	0.0021149337	0.0080098947	0.0160560000	0	0	209321984	-0.0011664222	-0.0004381730	-0.0001048883
11	1311877813.3254361153	0.0008148871	0.0011449300	0.0021149337	0.0076590258	0.0157690000	0	0	209321984	0.0000288641	0.0002753659	0.0007665523
12	1311877813.3575410843	0.0013282596	0.0011602075	0.0021149337	0.0077081134	0.0157520000	0	0	209321984	0.0005378862	-0.0001817062	0.0005456853
13	1311877813.3897869587	0.0011525666	0.0011596197	0.0021149337	0.0081685593	0.0155340000	0	0	209321984	-0.0010502812	-0.0004301268	-0.0002950847
14	1311877813.4253590107	0.0016939233	0.0011977842	0.0021149337	0.0079103515	0.0157010000	0	0	209321984	-0.0001140604	-0.0012729486	-0.0009042337
15	1311877813.4576280117	0.0014122468	0.0012120817	0.0021149337	0.0084745715	0.0155870000	0	0	209321984	-0.0008537261	0.0000798248	0.0006734944
16	1311877813.4898750782	0.0006290867	0.0011756446	0.0021149337	0.0086457159	0.0156880000	0	0	209321984	-0.0004887911	0.0000791475	0.0005447869
17	1311877813.5255570412	0.0005609246	0.0011394846	0.0021149337	0.0083918910	0.0158090000	0	0	209321984	-0.0000891389	-0.0000488532	0.0005102433
18	1311877813.5576760769	0.0012877181	0.0011477198	0.0021149337	0.0083743727	0.0158930000	0	0	209321984	-0.0002230481	-0.0010316771	-0.0009142579
19	1311877813.5940909386	0.0009041086	0.0011348981	0.0021149337	0.0081997790	0.0158160000	0	0	209321984	-0.0001989279	0.0004403891	0.0006692372
20	1311877813.6255590916	0.0019558608	0.0011759463	0.0021149337	0.0082907535	0.0156690000	0	0	209321984	-0.0012977606	-0.0002000182	0.0010436646
21	1311877813.6576681137	0.0010728706	0.0011710379	0.0021149337	0.0081725538	0.0155600000	0	0	209321984	-0.0005907879	0.0001390096	0.0004733624
22	1311877813.6955039501	0.0012407883	0.0011742084	0.0021149337	0.0079958158	0.0155140000	0	0	209321984	0.0000791597	-0.0008118919	-0.0007544424
23	1311877813.7255029678	0.0016638034	0.0011954951	0.0021149337	0.0078940854	0.0160330000	0	0	209321984	-0.0013111003	-0.0007506721	0.0000362554
24	1311877813.7576940060	0.0009221630	0.0011841063	0.0021149337	0.0077851347	0.0159690000	0	0	209321984	0.0002703678	-0.0007903030	-0.0001805632
25	1311877813.7929000854	0.0002374543	0.0011462402	0.0021149337	0.0076416793	0.0158060000	0	0	209321984	0.0005318957	-0.0000522786	0.0002586594
26	1311877813.8255090714	0.0012209605	0.0011491140	0.0021149337	0.0074925965	0.0150130000	0	0	209321984	-0.0002902584	-0.0008816475	0.0000485907
27	1311877813.8575870991	0.0010583799	0.0011457535	0.0021149337	0.0073623924	0.0154210000	0	0	209321984	-0.0001789752	0.0007947804	0.0005075930
28	1311877813.8938720226	0.0010916770	0.0011438222	0.0021149337	0.0072660610	0.0154110000	0	0	209321984	-0.0004465000	-0.0002311404	-0.0004995076
29	1311877813.9255650043	0.0010892866	0.0011419417	0.0021149337	0.0071611637	0.0150980000	0	0	209321984	-0.0004210356	-0.0001193375	-0.0004057638
30	1311877813.9576749802	0.0024354497	0.0011850586	0.0024354497	0.0070734580	0.0148950000	0	0	209321984	-0.0015365172	-0.0006808685	-0.0009500814
31	1311877813.9916660786	0.0022378217	0.0012190187	0.0024354497	0.0069850695	0.0149440000	0	0	209321984	-0.0011534225	-0.0005205622	-0.0010986816
32	1311877814.0254719257	0.0009796764	0.0012115393	0.0024354497	0.0068874797	0.0148210000	0	0	209321984	0.0001151026	0.0000478950	-0.0006061799
33	1311877814.0576980114	0.0005665882	0.0011919953	0.0024354497	0.0068950444	0.0153230000	0	0	209321984	0.0010889526	-0.0004144376	0.0002884516
34	1311877814.0927910805	0.0020901845	0.0012184126	0.0024354497	0.0074848769	0.0152250000	0	0	209321984	0.0006022939	-0.0008873674	-0.0012078126
35	1311877814.1256499290	0.0018667242	0.0012369358	0.0024354497	0.0074464037	0.0151120000	0	0	209321984	0.0028200957	0.0001707747	-0.0003957100
36	1311877814.1576189995	0.0013919841	0.0012412427	0.0024354497	0.0074230810	0.0154250000	0	0	209321984	0.0015806162	0.0002239792	-0.0004168372
37	1311877814.1923038960	0.0019081989	0.0012592685	0.0024354497	0.0073307818	0.0145460000	0	0	209321984	0.0025361008	-0.0015094151	-0.0000240598
38	1311877814.2253789902	0.0019804251	0.0012782464	0.0024354497	0.0134667216	0.0147160000	0	0	209321984	0.0015367371	0.0008943657	-0.0014572132
39	1311877814.2576398849	0.0019772232	0.0012961688	0.0024354497	0.0134083652	0.0149070000	0	0	209321984	0.0012505568	-0.0011188032	0.0005550866
40	1311877814.2952930927	0.0010135906	0.0012891044	0.0024354497	0.0132766717	0.0147330000	0	0	209321984	0.0018175445	-0.0001572074	-0.0004170987
41	1311877814.3253979683	0.0029925811	0.0013306526	0.0029925811	0.0131861187	0.0147520000	0	0	209321984	0.0018454271	0.0010275380	0.0028757928
42	1311877814.3577029705	0.0007324733	0.0013164102	0.0029925811	0.0130609603	0.0151790000	0	0	209321984	0.0033150439	0.0003520449	0.0001944003
43	1311877814.3923599720	0.0026146090	0.0013466009	0.0029925811	0.0130257472	0.0150280000	0	0	209321984	0.0036725404	0.0004329041	0.0024623030
44	1311877814.4254570007	0.0018010937	0.0013569303	0.0029925811	0.0129802391	0.0149580000	0	0	209321984	0.0038844678	-0.0003447250	0.0011971935
45	1311877814.4595959187	0.0042125829	0.0014203892	0.0042125829	0.0129153115	0.0143390000	0	0	209321984	0.0040809801	0.0012958888	0.0038873211
