SLAMBench Report run started:	2020-02-28 09:49:33

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2PSLAM3-ORB-RND-030.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_slam3.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311877977.0943949223	0.0003741482	0.0003741482	0.0003741482	0.0000000000	0.0193240000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311877977.1309568882	0.0012067826	0.0007904654	0.0012067826	0.0055439603	0.0207970000	0	0	209321984	0.0000095979	0.0009762643	0.0010262546
3	1311877977.1633410454	0.0013287937	0.0009699082	0.0013287937	0.0049543309	0.0173070000	0	0	209321984	0.0001081363	0.0007545659	0.0014000271
4	1311877977.2776629925	0.0017152546	0.0011562448	0.0017152546	0.0043946887	0.0173190000	0	0	209321984	-0.0000221430	0.0012647109	0.0012916042
5	1311877977.4318709373	0.0018808468	0.0013011652	0.0018808468	0.0075777157	0.0160530000	0	0	209321984	0.0021835999	0.0007769272	0.0012866710
6	1311877977.4635879993	0.0020376795	0.0014239176	0.0020376795	0.0096297200	0.0163360000	0	0	209321984	0.0014165333	0.0002266050	0.0020882708
7	1311877977.4986329079	0.0030932287	0.0016623906	0.0030932287	0.0096277632	0.0163970000	0	0	209321984	0.0028030847	0.0020365110	-0.0002225996
8	1311877977.5316350460	0.0027092504	0.0017932481	0.0030932287	0.0155412381	0.0155480000	0	0	209321984	0.0030690641	-0.0019442833	0.0009879417
9	1311877977.6454319954	0.0030363416	0.0019313696	0.0030932287	0.0160041697	0.0160370000	0	0	209321984	0.0049223201	-0.0005151202	-0.0005388627
10	1311877977.6774199009	0.0022606053	0.0019642932	0.0030932287	0.0160559671	0.0156210000	0	0	209321984	0.0044869753	0.0012857524	0.0002528916
11	1311877977.7774810791	0.0089756362	0.0026016880	0.0089756362	0.0157771262	0.0155330000	0	0	209321984	0.0075561833	0.0059753628	0.0051839291
12	1311877977.8136448860	0.0101172281	0.0032279830	0.0101172281	0.0154169155	0.0161400000	0	0	209321984	0.0055410387	-0.0000553525	0.0088278055
13	1311877977.8627290726	0.0091874516	0.0036864037	0.0101172281	0.0177809191	0.0157720000	0	0	209321984	0.0071295393	-0.0058465684	0.0043183565
14	1311877977.8994219303	0.0147951646	0.0044798866	0.0147951646	0.0226004529	0.0153550000	0	0	209321984	0.0073346766	0.0065319138	0.0102918567
15	1311877977.9622900486	0.0052509452	0.0045312905	0.0147951646	0.0223905140	0.0157010000	0	0	209321984	0.0062262979	0.0032067571	0.0012543385
16	1311877978.0333299637	0.0057064160	0.0046047358	0.0147951646	0.0219261117	0.0161780000	0	0	209321984	0.0073850700	0.0012099389	0.0027810568
17	1311877978.0620028973	0.0124636255	0.0050670235	0.0147951646	0.0221449965	0.0156630000	0	0	209321984	0.0132041024	0.0012268079	0.0092019131
18	1311877978.0993969440	0.0147152776	0.0056030376	0.0147951646	0.0281251845	0.0151400000	0	0	209321984	0.0086678406	0.0103944531	0.0091482922
19	1311877978.2133200169	0.0097783525	0.0058227910	0.0147951646	0.0345246107	0.0154800000	0	0	209321984	0.0008511291	-0.0038713554	-0.0050085527
20	1311877978.2454149723	0.0076782317	0.0059155630	0.0147951646	0.0337230716	0.0150150000	0	0	209321984	0.0039463872	-0.0012386543	-0.0015491352
21	1311877978.2773981094	0.0089205131	0.0060586559	0.0147951646	0.0331174476	0.0153960000	0	0	209321984	0.0067110118	-0.0023258396	0.0019354119
22	1311877978.4453690052	0.0105012162	0.0062605904	0.0147951646	0.0356037280	0.0155110000	0	0	209321984	0.0093992874	-0.0056293979	0.0029785046
23	1311877978.5134110451	0.0108473245	0.0064600137	0.0147951646	0.0356028484	0.0148830000	0	0	209321984	0.0078782504	-0.0009182998	0.0039439094
24	1311877978.5453391075	0.0120385988	0.0066924547	0.0147951646	0.0349243184	0.0150960000	0	0	209321984	0.0058693439	-0.0012204424	0.0026708678
