SLAMBench Report run started:	2020-02-28 07:41:14

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2RPY-ORB-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_rpy.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867718.6747388840	0.0021840702	0.0021840702	0.0021840702	0.0000000000	0.0179430000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311867718.7410299778	0.0030781368	0.0026311035	0.0030781368	0.0071180430	0.0203520000	0	0	209321984	0.0004646312	-0.0001777708	0.0005152345
3	1311867718.7767970562	0.0031799742	0.0028140604	0.0031799742	0.0050698319	0.0169720000	0	0	209321984	-0.0004101195	-0.0006467649	0.0001309348
4	1311867718.8094089031	0.0025569308	0.0027497780	0.0031799742	0.0044315006	0.0169170000	0	0	209321984	-0.0014283636	0.0007982096	0.0005485137
5	1311867718.8408079147	0.0035694076	0.0029137039	0.0035694076	0.0040934828	0.0170220000	0	0	209321984	-0.0021577612	0.0002461601	-0.0000741750
6	1311867718.8767778873	0.0038095224	0.0030630070	0.0038095224	0.0037629520	0.0171390000	0	0	209321984	-0.0011511751	0.0006988090	0.0003656730
7	1311867718.9088680744	0.0051689912	0.0033638619	0.0051689912	0.0036816831	0.0168160000	0	0	209321984	-0.0012961207	0.0009362050	-0.0004325180
8	1311867718.9438331127	0.0046687340	0.0035269709	0.0051689912	0.0034601363	0.0171120000	0	0	209321984	-0.0004257207	0.0002557024	0.0008383228
9	1311867718.9784109592	0.0050178720	0.0036926266	0.0051689912	0.0032845030	0.0163120000	0	0	209321984	-0.0022649637	0.0000665192	0.0004135245
10	1311867719.0441620350	0.0062454352	0.0039479074	0.0062454352	0.0031751262	0.0182830000	0	0	209321984	-0.0012613507	0.0002620555	-0.0002084014
11	1311867719.0776190758	0.0066094608	0.0041898668	0.0066094608	0.0030614090	0.0201950000	0	0	209321984	-0.0009763244	0.0002046044	-0.0001710245
12	1311867719.1086950302	0.0067284340	0.0044014141	0.0067284340	0.0029438665	0.0203380000	0	0	209321984	-0.0016211846	-0.0002771511	-0.0001190648
13	1311867719.1781229973	0.0066352072	0.0045732443	0.0067284340	0.0029468640	0.0182520000	0	0	209321984	-0.0004022773	0.0008548262	0.0012914781
14	1311867719.2127099037	0.0066986158	0.0047250566	0.0067284340	0.0028888885	0.0183970000	0	0	209321984	-0.0014908843	-0.0002781156	0.0012664371
15	1311867719.2412090302	0.0065647666	0.0048477039	0.0067284340	0.0028332073	0.0190780000	0	0	209321984	-0.0015475550	-0.0004542943	0.0019786037
16	1311867719.3413150311	0.0074200914	0.0050084781	0.0074200914	0.0032078448	0.0189170000	0	0	209321984	-0.0021541938	-0.0009446319	0.0021968363
17	1311867719.3772718906	0.0068796761	0.0051185486	0.0074200914	0.0031142144	0.0175220000	0	0	209321984	-0.0034801806	-0.0016256671	0.0026039213
18	1311867719.4105761051	0.0085892789	0.0053113670	0.0085892789	0.0030515951	0.0176900000	0	0	209321984	-0.0025150047	-0.0015634204	0.0013706652
19	1311867719.4427709579	0.0086998707	0.0054897093	0.0086998707	0.0030108080	0.0179650000	0	0	209321984	-0.0021371790	-0.0024144785	0.0019045023
20	1311867719.5104370117	0.0081666699	0.0056235573	0.0086998707	0.0030299274	0.0191900000	0	0	209321984	-0.0040461067	-0.0019256286	0.0020241761
21	1311867719.5449650288	0.0090144724	0.0057850294	0.0090144724	0.0031154714	0.0192410000	0	0	209321984	-0.0046893400	-0.0021347802	0.0016369204
22	1311867719.5771939754	0.0085410243	0.0059103019	0.0090144724	0.0030526923	0.0182000000	0	0	209321984	-0.0051735719	-0.0029429344	0.0025487740
23	1311867719.6112511158	0.0101649575	0.0060952870	0.0101649575	0.0029900558	0.0182040000	0	0	209321984	-0.0047223433	-0.0024933934	0.0015591220
24	1311867719.6421909332	0.0102909673	0.0062701070	0.0102909673	0.0029675218	0.0180670000	0	0	209321984	-0.0036119693	-0.0015439376	0.0029365914
25	1311867719.6770479679	0.0108191585	0.0064520690	0.0108191585	0.0029121721	0.0180900000	0	0	209321984	-0.0040596994	-0.0013998733	0.0028039375
