SLAMBench Report run started:	2020-02-28 07:26:13

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2XYZ-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520440	0.0582520440	0.0582520440	0.0000000000	0.0212400000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311867170.4941389561	0.0586513095	0.0584516767	0.0586513095	0.0035568599	0.0210740000	0	0	209321984	-0.0037290785	-0.0008873059	-0.0017752401
3	1311867170.5264289379	0.0586349778	0.0585127771	0.0586513095	0.0026892678	0.0170770000	0	0	209321984	-0.0066636289	-0.0009887099	-0.0038847781
4	1311867170.5623490810	0.0579612777	0.0583749022	0.0586513095	0.0038652261	0.0161260000	0	0	209321984	-0.0075552929	-0.0004700989	-0.0061232853
5	1311867170.5942170620	0.0572031438	0.0581405506	0.0586513095	0.0046716670	0.0157830000	0	0	209321984	-0.0105825309	-0.0026345556	-0.0081826607
6	1311867170.6260869503	0.0551972985	0.0576500085	0.0586513095	0.0045855823	0.0161110000	0	0	209321984	-0.0094935242	-0.0038034481	-0.0112776561
7	1311867170.6621398926	0.0557202436	0.0573743278	0.0586513095	0.0042680593	0.0161670000	0	0	209321984	-0.0116005996	-0.0041983514	-0.0123869115
8	1311867170.6942050457	0.0557865202	0.0571758519	0.0586513095	0.0039788450	0.0159470000	0	0	209321984	-0.0117514916	-0.0035821258	-0.0141893644
9	1311867170.7263879776	0.0565820150	0.0571098700	0.0586513095	0.0037951679	0.0157810000	0	0	209321984	-0.0149657391	-0.0051745819	-0.0147165330
10	1311867170.7620189190	0.0567802563	0.0570769086	0.0586513095	0.0036362128	0.0157670000	0	0	209321984	-0.0179762077	-0.0074667833	-0.0160556417
11	1311867170.7941920757	0.0557406954	0.0569554347	0.0586513095	0.0037678595	0.0156250000	0	0	209321984	-0.0188163277	-0.0093539311	-0.0189011358
12	1311867170.8262820244	0.0553769395	0.0568238935	0.0586513095	0.0037772370	0.0157660000	0	0	209321984	-0.0190528855	-0.0125779584	-0.0211441983
13	1311867170.8622210026	0.0536716506	0.0565814132	0.0586513095	0.0040032151	0.0160840000	0	0	209321984	-0.0181403700	-0.0145789562	-0.0251088254
14	1311867170.8943779469	0.0536986627	0.0563755025	0.0586513095	0.0038615189	0.0158770000	0	0	209321984	-0.0180563480	-0.0165230166	-0.0279309861
15	1311867170.9263520241	0.0533902831	0.0561764879	0.0586513095	0.0038842918	0.0157260000	0	0	209321984	-0.0189507548	-0.0196016338	-0.0310368408
16	1311867170.9621469975	0.0544289351	0.0560672658	0.0586513095	0.0038658180	0.0257620000	0	0	209321984	-0.0210439935	-0.0207070708	-0.0332900546
17	1311867170.9942629337	0.0530261137	0.0558883745	0.0586513095	0.0037974588	0.0161200000	0	0	209321984	-0.0202908125	-0.0211819317	-0.0380649455
18	1311867171.0262739658	0.0524326749	0.0556963912	0.0586513095	0.0037132019	0.0158570000	0	0	209321984	-0.0207681321	-0.0257041641	-0.0403808244
19	1311867171.0623519421	0.0528604612	0.0555471317	0.0586513095	0.0044277767	0.0156960000	0	0	209321984	-0.0226797536	-0.0272134934	-0.0432212874
20	1311867171.0942349434	0.0528478511	0.0554121677	0.0586513095	0.0045132153	0.0167630000	0	0	209321984	-0.0206540991	-0.0261182301	-0.0457715392
21	1311867171.1262509823	0.0534301884	0.0553177877	0.0586513095	0.0044253996	0.0179710000	0	0	209321984	-0.0219024625	-0.0280815251	-0.0470069349
22	1311867171.1622469425	0.0550346822	0.0553049193	0.0586513095	0.0047995773	0.0181120000	0	0	209321984	-0.0223404318	-0.0276762899	-0.0475831665
23	1311867171.1942689419	0.0531708337	0.0552121330	0.0586513095	0.0057559455	0.0175610000	0	0	209321984	-0.0177676901	-0.0262044836	-0.0497188568
24	1311867171.2262530327	0.0535405055	0.0551424818	0.0586513095	0.0058652612	0.0169770000	0	0	209321984	-0.0143448832	-0.0273791086	-0.0505616628
25	1311867171.2622439861	0.0522270203	0.0550258633	0.0586513095	0.0057570251	0.0167660000	0	0	209321984	-0.0097775338	-0.0259603523	-0.0530790389
26	1311867171.2943410873	0.0519410037	0.0549072149	0.0586513095	0.0056677231	0.0171820000	0	0	209321984	-0.0065742293	-0.0257432554	-0.0537800416
27	1311867171.3263869286	0.0530039929	0.0548367252	0.0586513095	0.0059385185	0.0178860000	0	0	209321984	-0.0073321401	-0.0266685076	-0.0539674833
