SLAMBench Report run started:	2020-02-28 07:39:07

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2XYZ-ORB-RND-030.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520440	0.0582520440	0.0582520440	0.0000000000	0.0212240000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311867170.4941389561	0.0586513095	0.0584516767	0.0586513095	0.0035568599	0.0208300000	0	0	209321984	-0.0037290785	-0.0008873059	-0.0017752401
3	1311867170.5809900761	0.0592100471	0.0587044669	0.0592100471	0.0083054750	0.0170020000	0	0	209321984	-0.0073827282	-0.0002081493	-0.0056039612
4	1311867170.6179420948	0.0591289401	0.0588105852	0.0592100471	0.0092257072	0.0161740000	0	0	209321984	-0.0108187580	-0.0024535032	-0.0072511849
5	1311867170.6805319786	0.0587778315	0.0588040344	0.0592100471	0.0085303417	0.0159720000	0	0	209321984	-0.0099686692	-0.0037691419	-0.0100425575
6	1311867170.7494509220	0.0584929623	0.0587521891	0.0592100471	0.0090586508	0.0157540000	0	0	209321984	-0.0120200356	-0.0037683470	-0.0141243665
7	1311867170.7803640366	0.0578162111	0.0586184779	0.0592100471	0.0092228199	0.0158160000	0	0	209321984	-0.0182015877	-0.0073030847	-0.0162434205
8	1311867170.8506159782	0.0574124530	0.0584677248	0.0592100471	0.0097590654	0.0158140000	0	0	209321984	-0.0188521575	-0.0123406285	-0.0209628474
9	1311867170.8943779469	0.0536618754	0.0579337416	0.0592100471	0.0092199529	0.0157730000	0	0	209321984	-0.0181670338	-0.0165337734	-0.0279862545
10	1311867170.9861969948	0.0569330230	0.0578336697	0.0592100471	0.0088299996	0.0156220000	0	0	209321984	-0.0212214310	-0.0207053963	-0.0334408358
11	1311867171.0198309422	0.0560341477	0.0576700768	0.0592100471	0.0084147609	0.0159100000	0	0	209321984	-0.0202018470	-0.0204591546	-0.0376897752
12	1311867171.1502649784	0.0549573191	0.0574440137	0.0592100471	0.0088402370	0.0168840000	0	0	209321984	-0.0218146909	-0.0280565787	-0.0468392074
13	1311867171.2507550716	0.0534676015	0.0571381358	0.0592100471	0.0098100947	0.0178760000	0	0	209321984	-0.0140388580	-0.0285479389	-0.0508212633
14	1311867171.3203868866	0.0538808256	0.0569054708	0.0592100471	0.0125571630	0.0177850000	0	0	209321984	-0.0087969061	-0.0266365949	-0.0528546572
15	1311867171.3484160900	0.0516976975	0.0565582859	0.0592100471	0.0136139845	0.0180680000	0	0	209321984	-0.0061420235	-0.0271726754	-0.0551317744
16	1311867171.3864109516	0.0551927127	0.0564729376	0.0592100471	0.0139481309	0.0174030000	0	0	209321984	-0.0065890667	-0.0235272292	-0.0540759042
17	1311867171.4262878895	0.0552118458	0.0563987557	0.0592100471	0.0135526760	0.0176910000	0	0	209321984	-0.0113409450	-0.0265284050	-0.0561022386
18	1311867171.4944040775	0.0548449606	0.0563124338	0.0592100471	0.0132135354	0.0187510000	0	0	209321984	-0.0106258951	-0.0244452897	-0.0609898716
19	1311867171.5870780945	0.0554612167	0.0562676329	0.0592100471	0.0129269060	0.0173240000	0	0	209321984	-0.0126079293	-0.0234197322	-0.0636363328
20	1311867171.6198279858	0.0537448078	0.0561414916	0.0592100471	0.0126424791	0.0179330000	0	0	209321984	-0.0115979463	-0.0238914117	-0.0656732395
21	1311867171.6854469776	0.0549354665	0.0560840618	0.0592100471	0.0125205637	0.0177830000	0	0	209321984	-0.0158997234	-0.0236756708	-0.0662199929
22	1311867171.7262439728	0.0543826967	0.0560067271	0.0592100471	0.0122267150	0.0176730000	0	0	209321984	-0.0215472188	-0.0243878048	-0.0680868477
23	1311867171.7621190548	0.0545515530	0.0559434586	0.0592100471	0.0119593245	0.0174890000	0	0	209321984	-0.0221933424	-0.0254184641	-0.0680747554
24	1311867171.8525280952	0.0546948053	0.0558914314	0.0592100471	0.0118689698	0.0171040000	0	0	209321984	-0.0237287711	-0.0263037272	-0.0700099096
25	1311867171.9164750576	0.0539772213	0.0558148630	0.0592100471	0.0118485247	0.0168870000	0	0	209321984	-0.0329318941	-0.0252122264	-0.0729328841
26	1311867172.0622880459	0.0544377305	0.0557618964	0.0592100471	0.0117041001	0.0176340000	0	0	209321984	-0.0474954285	-0.0222577602	-0.0716734603
27	1311867172.1623349190	0.0522061847	0.0556302033	0.0592100471	0.0115391468	0.0181480000	0	0	209321984	-0.0548451953	-0.0218250919	-0.0709092170
28	1311867172.2622280121	0.0522183292	0.0555083507	0.0592100471	0.0114750750	0.0173900000	0	0	209321984	-0.0604048707	-0.0199416950	-0.0688548535
29	1311867172.3624010086	0.0531672463	0.0554276229	0.0592100471	0.0113043589	0.0200810000	0	0	209321984	-0.0722873583	-0.0190538093	-0.0669109225
30	1311867172.3942890167	0.0520495474	0.0553150204	0.0592100471	0.0111450129	0.0167760000	0	0	209321984	-0.0733224377	-0.0186830983	-0.0674433932
31	1311867172.4265220165	0.0509049445	0.0551727599	0.0592100471	0.0110457205	0.0164570000	0	0	209321984	-0.0765240267	-0.0211496335	-0.0685854629
32	1311867172.5177230835	0.0527366810	0.0550966325	0.0592100471	0.0109189220	0.0166940000	0	0	209321984	-0.0763836950	-0.0170553308	-0.0688738599
33	1311867172.5566339493	0.0519751087	0.0550020408	0.0592100471	0.0107536501	0.0161370000	0	0	209321984	-0.0821998343	-0.0207402483	-0.0689936876
34	1311867172.5895540714	0.0524261408	0.0549262791	0.0592100471	0.0106043127	0.0164980000	0	0	209321984	-0.0833105519	-0.0184264202	-0.0702590048
35	1311867172.6521980762	0.0514838994	0.0548279253	0.0592100471	0.0104572257	0.0174340000	0	0	209321984	-0.0878160745	-0.0206623785	-0.0712684169
36	1311867172.7164731026	0.0520161800	0.0547498213	0.0592100471	0.0104227070	0.0185730000	0	0	209321984	-0.0912483856	-0.0198021643	-0.0715204626
37	1311867172.7555809021	0.0521539263	0.0546796620	0.0592100471	0.0102856533	0.0181720000	0	0	209321984	-0.0931095034	-0.0177953094	-0.0725743845
