SLAMBench Report run started:	2020-02-12 09:24:22

Properties:
=================

frame-limit: 0
log-file: logfile.txt
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.dylib
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.dylib
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0009

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.6341750000	0.0808730000	0.0215320000	0.0420010000	0.0000000000	0.4895510000	0	0	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.1362420000	0.0803830000	0.0117370000	0.0417950000	0.0000010000	0.0022940000	0	0	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.1458520000	0.0904650000	0.0115150000	0.0414880000	0.0000010000	0.0023470000	0	0	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.6226060000	0.0796130000	0.0123810000	0.0423010000	0.4856370000	0.0026270000	0	0	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276572	0.0024566334	0.0055015511	0.0048987944	1.1730500000	0.0864210000	0.0660250000	0.0429080000	0.4865390000	0.4911160000	0	0	3.9957129955	4.0020360947	4.0009112358
6	0.2000000000	0.0021158110	0.0023998297	0.0055015511	0.0043899454	0.6166370000	0.0846790000	0.0460220000	0.0000000000	0.4835240000	0.0023720000	0	0	3.9965538979	4.0017571449	4.0000624657
7	0.2400000000	0.0020491821	0.0023497372	0.0055015511	0.0040164420	0.6442390000	0.0830750000	0.0427560000	0.0414120000	0.4747290000	0.0022260000	0	0	3.9963860512	4.0014791489	4.0003576279
8	0.2800000000	0.0021295445	0.0023222131	0.0055015511	0.0037227656	0.6032660000	0.0802850000	0.0447840000	0.0000000000	0.4759100000	0.0022470000	0	0	3.9949586391	4.0019369125	4.0002703667
9	0.3200000000	0.0021676212	0.0023050362	0.0055015511	0.0035287190	1.1253220000	0.0790830000	0.0429000000	0.0416000000	0.4760910000	0.4856070000	0	0	3.9930224419	4.0012898445	4.0003123283
10	0.3600000000	0.0022070820	0.0022952408	0.0055015511	0.0033889795	0.6037080000	0.0811590000	0.0436270000	0.0000000000	0.4767080000	0.0021690000	0	0	3.9929070473	4.0026335716	4.0009012222
